time_step,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127,dim_128,dim_129,dim_130,dim_131,dim_132,dim_133,dim_134,dim_135,dim_136,dim_137,dim_138,dim_139,dim_140,dim_141,dim_142,dim_143,dim_144,dim_145,dim_146,dim_147,dim_148,dim_149,dim_150,dim_151,dim_152,dim_153,dim_154,dim_155,dim_156,dim_157,dim_158,dim_159,dim_160,dim_161,dim_162,dim_163,dim_164,dim_165,dim_166,dim_167,dim_168,dim_169,dim_170,dim_171,dim_172,dim_173,dim_174,dim_175,dim_176,dim_177,dim_178,dim_179,dim_180,dim_181,dim_182,dim_183,dim_184,dim_185,dim_186,dim_187,dim_188,dim_189,dim_190,dim_191,dim_192,dim_193,dim_194,dim_195,dim_196,dim_197,dim_198,dim_199,dim_200,dim_201,dim_202,dim_203,dim_204,dim_205,dim_206,dim_207,dim_208,dim_209,dim_210,dim_211,dim_212,dim_213,dim_214,dim_215,dim_216,dim_217,dim_218,dim_219,dim_220,dim_221,dim_222,dim_223,dim_224,dim_225,dim_226,dim_227,dim_228,dim_229,dim_230,dim_231,dim_232,dim_233,dim_234,dim_235,dim_236,dim_237,dim_238,dim_239,dim_240,dim_241,dim_242,dim_243,dim_244,dim_245,dim_246,dim_247,dim_248,dim_249,dim_250,dim_251
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.9538,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.11143,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.2397,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,53.032227,86.83087,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.07283,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.4769,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.08585,100.0,100.0,100.0,94.27037,100.0,100.0,100.0,100.0,100.0,100.0,93.255295,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.63586,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.846245,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.534645,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.48951,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.749954,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.49549,100.0,100.0,100.0,94.954216,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.79278,100.0,93.72503,100.0,82.789894,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.37599,80.684395,100.0,100.0,100.0,91.96257,63.577602,93.415436,100.0,100.0,100.0,87.35808,92.1414,100.0,93.83921,100.0,100.0,77.33723,100.0,94.955444,100.0,92.725914,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.83612,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.3917,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.65183,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,100.0,100.0,95.63771,100.0,100.0,100.0,100.0,94.05464,100.0,100.0,100.0,92.056435,96.63221,100.0,96.32883,94.21103,100.0,100.0,100.0,100.0,96.00287,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.59569,100.0,95.980286,95.638695,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.61041,100.0,100.0,100.0,94.057236,100.0,95.61125,100.0,96.180244,100.0,100.0,94.397575,100.0,100.0,100.0,95.503525,96.56969,100.0,100.0,100.0,100.0,94.04237,95.685,95.77704,100.0,100.0,100.0,100.0,95.98537,94.49548,95.090576,96.00484,100.0,100.0,100.0,95.63774,100.0,95.894936,96.60676,100.0,100.0,90.60628,100.0,100.0,93.7892,100.0,95.20625,100.0,100.0,100.0,100.0,100.0,100.0,92.529366,100.0,91.72537,100.0,96.62446,95.696655,100.0,100.0,96.49921,100.0,100.0,100.0,96.22263,100.0,100.0,100.0,100.0,100.0,94.37608,95.27904,95.5895,100.0,94.343956,94.90469,100.0,92.38364,95.87533,100.0,100.0,94.11487,95.52879,91.0323,100.0,100.0,96.53717,100.0,100.0,100.0,100.0,95.833305,100.0,100.0,100.0,100.0,95.61216,100.0,100.0,100.0,95.057076,100.0,96.47157,95.75467,100.0,95.68486,95.609024,100.0,100.0,94.98042,100.0,100.0,100.0,87.93796,100.0,96.345116,100.0,91.45729,100.0,100.0,93.260544,100.0,96.549515,96.142136,94.91933,93.95844,86.22351,92.72722,91.054214,100.0,85.00812,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.29057,86.979965,87.122925,100.0,100.0,100.0,94.641716,55.150414,95.61029,96.40749,100.0,96.26049,91.57205,90.58373,100.0,95.89281,95.76509,100.0,66.78812,100.0,96.63696,93.72739,95.15061,95.54078,100.0,93.21847,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.41453,96.06934,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.59447,95.83769,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.434555,100.0,96.39593,100.0,100.0,96.46126,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,100.0,100.0,96.72828,100.0,100.0,100.0,100.0,95.540985,100.0,100.0,100.0,94.04232,97.47416,100.0,97.24662,95.65827,100.0,100.0,100.0,100.0,97.00215,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.19677,100.0,96.985214,96.72902,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.70781,100.0,100.0,100.0,95.54292,100.0,96.70844,100.0,97.135185,100.0,100.0,95.79818,100.0,100.0,100.0,96.62765,97.42727,100.0,100.0,100.0,100.0,95.531784,96.76375,96.83278,100.0,100.0,100.0,100.0,96.98903,95.87161,96.31793,97.003624,100.0,100.0,100.0,96.7283,100.0,96.9212,97.45507,100.0,100.0,92.954704,100.0,100.0,95.3419,100.0,96.404686,100.0,100.0,100.0,100.0,100.0,100.0,94.397026,100.0,93.79403,100.0,97.46834,96.77249,100.0,100.0,97.374405,100.0,100.0,100.0,97.16698,100.0,100.0,100.0,100.0,100.0,95.78207,96.459274,96.69212,100.0,95.757965,96.17852,100.0,94.28773,96.906494,100.0,100.0,95.58615,96.64659,93.27423,100.0,100.0,97.40288,100.0,100.0,100.0,100.0,96.87498,100.0,100.0,100.0,100.0,96.70912,100.0,100.0,100.0,96.29281,100.0,97.353676,96.816,100.0,96.76364,96.70677,100.0,100.0,96.23531,100.0,100.0,100.0,90.95347,100.0,97.258835,100.0,93.592964,100.0,100.0,94.945404,100.0,97.41213,97.1066,96.18949,95.468834,89.66763,94.54542,93.29066,100.0,88.75609,97.38516,100.0,100.0,100.0,100.0,100.0,100.0,97.21793,90.23498,90.34219,100.0,100.0,100.0,95.981285,55.71388,93.9229,97.30562,100.0,97.195366,93.67904,92.9378,100.0,96.91961,96.82382,100.0,65.99738,100.0,97.47772,95.29554,96.36296,96.65559,100.0,94.91385,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.3109,97.05201,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.695854,96.87827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.32591,100.0,97.29694,100.0,100.0,97.34594,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,100.0,100.0,97.38262,100.0,100.0,100.0,100.0,96.432785,100.0,97.38423,100.0,95.23386,97.979324,100.0,97.797295,96.52662,100.0,100.0,100.0,100.0,97.60172,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.757416,100.0,97.58817,97.38322,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.36625,100.0,100.0,100.0,94.43183,100.0,97.36675,100.0,97.708145,100.0,100.0,96.63854,100.0,100.0,100.0,97.30212,97.94181,100.0,100.0,100.0,100.0,96.42542,97.410995,97.466225,100.0,100.0,100.0,100.0,97.59122,96.69729,93.71057,97.602905,96.76471,100.0,100.0,97.382645,97.54173,97.536964,97.96406,97.3462,100.0,94.36376,100.0,100.0,96.27352,100.0,97.12375,100.0,100.0,100.0,100.0,100.0,100.0,93.20996,100.0,95.035225,100.0,97.97467,97.418,100.0,100.0,97.89953,100.0,100.0,100.0,97.73358,100.0,100.0,100.0,100.0,100.0,96.625656,97.16742,97.3537,100.0,96.60638,96.94282,100.0,95.43018,97.5252,100.0,100.0,96.468925,97.317276,94.619385,100.0,100.0,97.9223,100.0,100.0,100.0,97.732605,97.499985,100.0,100.0,100.0,100.0,97.367294,100.0,100.0,100.0,97.03425,100.0,97.88294,97.452805,100.0,97.41092,97.36542,100.0,100.0,96.98825,100.0,100.0,100.0,92.76278,100.0,97.80707,100.0,94.874374,100.0,100.0,95.95633,97.68689,97.92971,97.68528,96.95159,93.66288,91.73411,95.63633,94.63252,100.0,87.6045,97.908134,100.0,100.0,100.0,100.0,100.0,100.0,97.774345,92.18798,92.27376,100.0,100.0,97.25345,96.78503,54.592033,95.13831,97.8445,100.0,97.756294,92.84334,92.071266,100.0,97.53568,97.45905,100.0,68.19367,100.0,97.98218,96.236435,97.09036,97.32447,100.0,95.93108,97.992165,100.0,100.0,100.0,100.0,100.0,97.956375,95.448715,97.64161,100.0,100.0,96.85527,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.66005,97.35668,97.50262,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.86073,100.0,97.837555,100.0,100.0,97.876755,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,100.0,100.0,97.818855,100.0,100.0,100.0,100.0,95.1944,100.0,97.82019,100.0,96.02821,98.31611,100.0,98.16441,97.105515,100.0,100.0,100.0,100.0,98.001434,95.92419,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.14416,100.0,94.797844,100.0,97.99014,97.81935,100.0,100.0,100.0,100.0,100.0,98.23952,100.0,97.80521,100.0,100.0,100.0,95.35986,97.20215,97.805626,100.0,98.090126,100.0,100.0,97.198784,100.0,100.0,100.0,97.75176,98.28484,100.0,100.0,100.0,100.0,97.02119,97.8425,97.88852,100.0,100.0,100.0,100.0,95.86378,97.24774,93.07702,98.00242,97.303925,100.0,100.0,97.81887,97.95145,97.947464,98.303375,97.7885,100.0,95.30314,100.0,100.0,96.8946,100.0,97.60313,100.0,100.0,100.0,100.0,100.0,100.0,94.34164,100.0,95.862686,100.0,98.312225,97.84833,100.0,100.0,98.2496,100.0,100.0,100.0,98.11131,97.965,100.0,100.0,100.0,100.0,94.17918,95.711685,96.07794,98.12289,97.171974,97.45235,100.0,96.19182,97.93767,100.0,100.0,97.057434,97.7644,95.51615,100.0,100.0,98.268585,100.0,100.0,100.0,98.110504,97.91666,100.0,100.0,100.0,100.0,97.806076,100.0,100.0,98.33286,97.52854,100.0,98.23579,97.877335,100.0,97.84243,97.80451,100.0,100.0,97.49021,100.0,100.0,100.0,93.96898,100.0,98.172554,100.0,95.728645,100.0,98.25048,96.63027,98.07241,98.27476,98.07107,97.45966,94.71906,93.111755,96.36361,95.52711,100.0,89.67042,96.52163,98.2652,100.0,100.0,100.0,100.0,100.0,98.14529,93.48998,93.56146,100.0,100.0,97.71121,97.320854,48.519993,95.94859,98.20374,97.77075,98.13025,94.03612,91.3053,100.0,97.9464,97.882545,100.0,63.529636,100.0,98.31848,96.86369,97.5753,97.77039,100.0,96.60924,98.326805,100.0,100.0,100.0,97.838326,100.0,98.29698,96.20726,98.034676,100.0,98.242836,97.379395,100.0,100.0,100.0,100.0,98.16319,100.0,100.0,100.0,98.05004,97.79723,97.918846,100.0,100.0,100.0,100.0,100.0,100.0,97.97774,98.21728,100.0,98.19796,100.0,100.0,96.194695,100.0,98.10629,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,100.0,100.0,98.13045,100.0,100.0,100.0,100.0,95.88091,100.0,98.13159,100.0,96.59561,98.55666,100.0,98.42664,97.51901,100.0,100.0,100.0,100.0,98.28694,96.50645,100.0,95.99675,100.0,100.0,100.0,100.0,100.0,98.40928,100.0,95.54101,100.0,98.27727,98.13087,100.0,100.0,100.0,100.0,100.0,98.49101,100.0,98.11875,100.0,100.0,100.0,96.022736,97.601845,98.11911,100.0,98.36296,98.29335,100.0,97.59896,100.0,100.0,100.0,98.07294,98.52987,100.0,100.0,100.0,100.0,97.44673,98.15071,98.190155,100.0,100.0,100.0,100.0,96.454666,97.64092,94.06602,98.28779,97.68908,100.0,100.0,98.13046,98.244095,98.240685,98.54575,98.10443,100.0,95.97412,100.0,100.0,95.773094,100.0,97.94553,100.0,100.0,100.0,100.0,100.0,100.0,95.14997,100.0,96.45373,100.0,98.55334,98.15571,100.0,100.0,98.499664,100.0,100.0,100.0,98.38113,98.255714,100.0,100.0,100.0,100.0,95.01073,96.3243,96.63823,98.391045,97.57598,97.8163,100.0,96.73585,98.232285,100.0,100.0,94.686455,96.453964,96.1567,100.0,100.0,98.51593,100.0,100.0,98.3229,98.38043,98.21427,100.0,100.0,100.0,100.0,98.1195,100.0,100.0,98.57102,97.88161,100.0,98.487816,98.18057,98.00739,98.15066,98.11816,100.0,100.0,97.848755,100.0,100.0,100.0,94.83055,100.0,98.43362,100.0,96.33884,100.0,98.50041,97.111664,94.277695,98.52122,96.67832,97.82257,95.47348,94.095795,96.883095,96.16609,100.0,91.14607,97.01854,98.51302,100.0,100.0,100.0,100.0,100.0,98.41025,94.41998,94.481255,100.0,100.0,98.03818,97.70359,46.50289,96.52737,98.46035,98.08921,98.397354,94.8881,92.5474,100.0,98.23978,98.18504,100.0,61.916927,100.0,98.5587,97.31174,97.92169,98.088905,100.0,97.09363,98.565834,100.0,100.0,100.0,98.14714,100.0,98.54027,96.749084,98.31543,100.0,98.49386,97.75377,100.0,100.0,100.0,98.43194,98.42559,100.0,100.0,100.0,98.328606,98.111916,98.216156,100.0,100.0,100.0,100.0,100.0,100.0,98.26663,98.471954,100.0,98.4554,100.0,100.0,96.738304,100.0,98.37682,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7,100.0,100.0,98.36414,100.0,100.0,100.0,100.0,96.3958,100.0,96.93463,100.0,97.021164,98.73708,98.72576,98.623314,97.82914,100.0,100.0,100.0,100.0,98.501076,96.943146,100.0,96.497154,100.0,100.0,100.0,100.0,100.0,98.608116,100.0,96.09838,100.0,98.49261,98.36451,100.0,100.0,100.0,100.0,100.0,98.679634,100.0,98.353905,100.0,100.0,100.0,96.5199,97.90161,98.35422,100.0,98.5676,98.50668,100.0,97.89909,100.0,98.32075,100.0,98.31382,97.04976,100.0,100.0,100.0,100.0,97.76589,98.381874,98.41639,100.0,100.0,100.0,100.0,96.89783,97.93581,94.80776,98.501816,97.97794,100.0,100.0,98.36415,98.463585,98.4606,98.72753,98.34138,100.0,96.477356,100.0,100.0,96.30145,100.0,98.20235,100.0,100.0,100.0,100.0,100.0,100.0,95.756226,100.0,96.89701,100.0,98.73417,98.386246,100.0,100.0,98.6872,100.0,100.0,100.0,98.58349,98.47375,100.0,100.0,100.0,100.0,95.634384,96.78376,97.05846,98.59216,97.87898,98.089264,100.0,97.14386,98.45325,100.0,100.0,95.35065,96.89722,96.637115,100.0,100.0,98.70144,100.0,100.0,98.53253,98.58288,98.43749,100.0,100.0,100.0,100.0,98.35456,100.0,100.0,98.74965,98.1464,100.0,98.67684,98.408005,98.25647,98.38182,98.353386,100.0,100.0,98.11766,100.0,100.0,100.0,95.47674,100.0,98.62942,100.0,95.51123,100.0,98.68786,97.4727,94.99299,97.393616,97.09353,98.09475,96.0393,94.83382,97.272705,95.300545,100.0,92.252815,97.39122,98.6989,100.0,100.0,100.0,100.0,100.0,98.60896,95.117485,95.1711,100.0,100.0,98.28341,97.99065,46.15058,95.35434,98.65281,98.328064,98.59769,95.527084,93.47897,100.0,98.4598,98.41191,100.0,61.798943,100.0,98.73886,97.64777,98.18148,98.3278,100.0,97.456924,98.7451,100.0,100.0,100.0,98.378746,100.0,98.72273,97.15545,98.526,100.0,98.68213,98.034546,100.0,100.0,100.0,98.627945,98.62239,100.0,100.0,100.0,98.53753,98.34792,98.43913,100.0,100.0,100.0,100.0,100.0,100.0,98.48331,98.66296,100.0,98.64847,100.0,100.0,97.14602,100.0,98.57972,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,100.0,100.0,98.545906,100.0,100.0,100.0,100.0,96.796265,100.0,97.27523,100.0,97.35214,98.8774,98.86734,98.776276,98.07034,100.0,100.0,100.0,100.0,98.667625,97.28279,100.0,96.88636,100.0,100.0,100.0,100.0,100.0,98.76277,100.0,96.5319,100.0,98.660095,98.546234,100.0,100.0,100.0,100.0,100.0,98.82634,100.0,98.536804,100.0,100.0,100.0,96.90657,98.134766,98.53709,100.0,98.726746,98.67261,100.0,98.13252,100.0,98.50733,100.0,98.501175,97.37756,100.0,100.0,100.0,100.0,98.01412,98.56167,98.59235,100.0,100.0,100.0,100.0,97.242516,98.16516,95.38468,98.66828,98.202614,100.0,100.0,98.54591,98.63429,98.631645,98.86892,98.525665,100.0,96.86876,100.0,100.0,96.7124,100.0,98.402084,100.0,100.0,100.0,100.0,100.0,100.0,96.22776,100.0,97.24179,100.0,98.87482,98.56555,100.0,100.0,98.83307,100.0,100.0,100.0,98.740875,98.64333,100.0,100.0,100.0,100.0,96.11945,97.14112,97.38529,98.74859,98.114655,98.30157,100.0,97.46121,98.62511,100.0,100.0,95.86724,97.241974,97.010765,100.0,100.0,98.845726,100.0,98.77645,98.69559,98.74033,98.6111,100.0,100.0,100.0,100.0,98.537384,100.0,100.0,98.88857,98.352356,100.0,98.82386,98.58489,98.450195,98.56162,98.53635,100.0,100.0,98.326805,100.0,100.0,100.0,95.97932,100.0,98.78171,100.0,96.00999,100.0,98.83366,97.75352,95.549324,97.68321,97.41647,98.30644,96.47938,95.40784,97.57574,95.82271,100.0,93.11361,95.871506,98.84346,100.0,100.0,100.0,100.0,100.0,98.76353,95.65999,95.70764,100.0,100.0,97.32987,98.213905,47.974148,95.87052,98.8025,98.51383,98.753494,96.02408,94.20353,100.0,98.630936,98.58836,100.0,62.714413,100.0,98.87899,97.90913,98.38354,98.513596,100.0,97.73949,98.88454,100.0,100.0,100.0,98.55888,100.0,98.864655,97.47151,98.68978,100.0,98.82856,98.25293,100.0,100.0,100.0,98.780396,98.77546,100.0,100.0,100.0,98.70003,98.53149,98.612564,100.0,100.0,100.0,100.0,100.0,100.0,98.651825,98.811516,100.0,98.798645,100.0,100.0,97.46313,100.0,98.73753,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,100.0,100.0,98.691315,100.0,100.0,100.0,100.0,97.11664,100.0,97.54771,100.0,97.61693,98.98966,98.980606,98.89865,98.263306,100.0,100.0,100.0,100.0,98.80086,97.55451,100.0,97.19772,100.0,100.0,100.0,100.0,100.0,98.8865,100.0,96.87871,100.0,98.79408,98.69161,100.0,100.0,100.0,100.0,100.0,98.94371,100.0,98.68312,100.0,100.0,100.0,97.21592,98.32129,97.56738,100.0,98.85407,98.80534,98.972755,98.319275,100.0,98.6566,100.0,98.65106,97.63981,100.0,100.0,98.78996,100.0,98.212715,98.7055,98.73311,100.0,100.0,100.0,100.0,97.518265,97.32677,95.84621,98.80145,98.382355,100.0,100.0,98.69132,97.72209,98.76848,98.982025,98.6731,100.0,97.181885,100.0,100.0,97.04117,100.0,98.561874,100.0,100.0,100.0,100.0,100.0,100.0,96.60498,100.0,97.51761,100.0,98.987335,98.709,100.0,100.0,98.94976,100.0,100.0,100.0,98.86679,98.779,100.0,100.0,100.0,100.0,96.50751,97.42701,97.64676,98.87373,98.303185,98.471405,100.0,97.71509,98.762596,100.0,100.0,96.28052,96.42078,95.74008,100.0,100.0,97.62883,100.0,98.89881,97.74137,98.8663,98.74999,100.0,100.0,100.0,100.0,98.68365,100.0,100.0,98.99972,98.51712,100.0,98.941475,98.7264,98.60517,98.70546,98.68271,100.0,100.0,98.494125,100.0,100.0,100.0,96.381386,100.0,98.903534,100.0,96.40899,100.0,98.95029,96.35663,94.81149,97.914894,97.67482,98.4758,96.831436,95.86705,97.81817,96.24044,100.0,93.80225,96.284355,98.959114,100.0,100.0,100.0,100.0,100.0,98.88717,94.89226,96.13688,100.0,100.0,97.596886,98.39252,46.814392,95.235344,98.92225,98.66245,98.87815,96.42167,93.26533,100.0,98.767845,97.21865,100.0,61.133312,100.0,98.99109,98.11822,98.54518,98.66223,100.0,97.96554,98.996086,100.0,100.0,100.0,98.702995,100.0,98.97819,97.72436,98.8208,100.0,98.9457,98.427635,100.0,100.0,100.0,98.90236,98.89791,100.0,100.0,100.0,98.830025,98.67834,98.751305,100.0,100.0,100.0,100.0,100.0,100.0,98.786644,98.93037,100.0,98.91878,100.0,100.0,97.71681,100.0,98.86378,100.0,100.0,100.0,100.0,100.0,100.0,100.0
