time_step,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127,dim_128,dim_129,dim_130,dim_131,dim_132,dim_133,dim_134,dim_135,dim_136,dim_137,dim_138,dim_139,dim_140,dim_141,dim_142,dim_143,dim_144,dim_145,dim_146,dim_147,dim_148,dim_149,dim_150,dim_151,dim_152,dim_153,dim_154,dim_155,dim_156,dim_157,dim_158,dim_159,dim_160,dim_161,dim_162,dim_163,dim_164,dim_165,dim_166,dim_167,dim_168,dim_169,dim_170,dim_171,dim_172,dim_173,dim_174,dim_175,dim_176,dim_177,dim_178,dim_179,dim_180,dim_181,dim_182,dim_183,dim_184,dim_185,dim_186,dim_187,dim_188,dim_189,dim_190,dim_191,dim_192,dim_193,dim_194,dim_195,dim_196,dim_197,dim_198,dim_199,dim_200,dim_201,dim_202,dim_203,dim_204,dim_205,dim_206,dim_207,dim_208,dim_209,dim_210,dim_211,dim_212,dim_213,dim_214,dim_215,dim_216,dim_217,dim_218,dim_219,dim_220,dim_221,dim_222,dim_223,dim_224,dim_225,dim_226,dim_227,dim_228,dim_229,dim_230,dim_231,dim_232,dim_233,dim_234,dim_235,dim_236,dim_237,dim_238,dim_239,dim_240,dim_241,dim_242,dim_243,dim_244,dim_245,dim_246,dim_247,dim_248,dim_249,dim_250,dim_251
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0473771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0331528,0.0,1.1768197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2454348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2472966,1.3558856,0.0,1.0012436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1793996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0417913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4688414,0.0,0.0,0.0,1.2745228,0.0,0.0,1.0201201,0.0,1.5459265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3055676,1.6832393,0.0,2.605108,0.0,0.0,0.0,0.0,1.0884185,0.0,0.0,0.0,0.0,1.1198809,0.0,0.0,0.0,0.0,0.0,0.0,1.1078877,0.0,0.0,0.0,0.0,1.1998873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5146446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.785566,0.0,0.0,0.0,0.0,1.8860736,0.0,0.0,0.0,1.2927732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2620258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.51149046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52368855,0.500385,0.0,0.54863656,0.0,0.0,0.0,0.0,0.0,0.0,0.5165764,0.56251943,2.1252034,0.0,0.94065493,0.0,0.0,0.0,0.0,1.0432659,0.7387697,1.3491083,1.0826982,0.0,0.0,0.0,0.7611631,0.0,1.1022669,1.2174652,0.0,0.7068574,1.1027594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54710543,0.0,0.517165,0.0,0.0,0.5320845,0.0,0.6142557,0.0,0.0,0.0,0.0,0.0,0.6236483,1.3419144,0.0,1.4422528,0.0,0.0,0.0,0.0,0.0,0.0,0.57892984,0.0,0.5896998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5859855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66011196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9252758,1.7145839,2.2029731,0.0,0.0,0.0,0.0,1.1571159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6150215,0.7344207,0.7500488,0.0,0.0,1.4556104,0.0,0.0,1.1644634,0.50711006,1.3438048,0.0,0.0,0.0,0.83906144,0.0,0.0,0.90396124,0.0,0.0,0.0,0.0,0.0,0.5349155,0.0,1.0957797,0.0,0.90712196,0.0,1.1909246,1.7680709,0.0,2.4131362,0.0,0.0,0.0,0.0,0.54420924,0.0,0.0,0.0,0.0,0.55994046,0.0,0.0,0.0,0.0,0.0,0.0,0.5539439,0.0,0.0,0.0,0.0,1.3635919,0.0,0.99195737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.564111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.239094,0.0,0.0,0.0,0.0,1.4507719,0.0,0.5640304,0.0,0.6463866,0.0,0.86473227,0.0,0.0,0.0,0.5517497,0.0,0.0,0.0,0.0,0.0,0.0,0.6310129,0.0,0.0,0.0,0.5068177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.34099364,0.0,0.38835678,0.4635742,0.0,0.0,0.37642312,0.0,0.0,0.7182458,0.33359,0.0,0.3657577,0.0,0.0,0.35972193,0.38150987,0.0,0.0,0.34438428,0.37501296,1.9421873,0.0,0.62710327,0.0,0.37475237,0.0,0.36548367,0.6955106,0.83917934,0.89940554,0.72179884,0.0,0.0,0.0,0.50744206,0.0,0.7348446,0.8116434,0.0,0.47123826,0.7351729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74818856,0.0,0.6435844,0.39535582,0.0,0.0,0.0,0.36473694,0.0,0.34477666,0.0,0.0,0.354723,0.0,0.40950382,0.36830136,0.0,0.0,0.0,0.42526892,0.41576552,0.89460963,0.61732763,1.3283051,0.36921695,0.0,0.0,0.0,0.0,0.0,0.38595322,0.80432534,0.3931332,0.0,0.0,0.38264522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9114197,0.46988794,0.38117063,0.0,0.0,0.4175295,0.0,0.0,0.44007465,0.38340673,0.0,0.0,0.0,0.4153923,0.0,0.38806835,0.0,0.5350171,0.0,0.0,0.61685055,1.1430559,1.4686488,0.0,0.0,0.0,0.0,1.1252973,0.3765875,0.44443095,0.0,0.3681207,0.0,0.0,0.0,0.0,0.53362066,0.0,0.41001436,0.4896138,0.50003254,0.0,0.0,0.97040695,0.41149446,0.0,0.77630895,0.33807337,0.8958699,0.0,0.0,0.4508265,0.5593743,0.0,0.0,0.6026408,0.0,0.38838747,0.0,0.0,0.0,0.35661033,0.0,0.7305198,0.0,0.60474795,0.0,0.7939498,1.1787139,0.0,1.6087575,0.0,0.0,0.0,0.0,0.36280617,0.0,0.0,0.0,0.0,0.37329364,0.0,0.0,0.0,0.0,0.0,0.0,0.36929592,0.0,0.0,0.0,0.0,0.90906125,0.0,0.6613049,0.3834144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0427407,0.0,0.0,0.0,0.0,0.0,0.3687986,0.0,0.0,20.826063,0.0,0.44076106,0.0,0.0,0.96718127,0.0,0.37602028,0.0,0.43092442,0.0,0.5764882,0.0,0.0,0.0,0.36783314,0.0,0.0,0.0,0.7702174,0.0,0.0,0.42067528,0.0,0.7352815,0.0,0.33787847,0.0,0.0,0.0,0.36156097,0.0,0.3758217,0.37383214,0.0,0.36396816,0.4305781,0.0,0.0,0.3862001,0.45193627,0.0,0.0,0.0
3,0.25574523,0.0,0.29126757,0.34768066,0.0,0.0,0.28231734,0.0,0.0,0.53868437,0.2501925,0.0,0.27431828,0.0,0.0,0.26979145,0.2861324,0.0,0.0,0.2582882,0.28125972,1.4566405,0.0,0.47032747,0.0,0.28106427,0.0,0.27411276,0.52163297,0.6293845,0.67455417,0.5413491,0.0,0.0,0.0,0.38058156,0.0,0.55113345,0.6087326,0.0,0.3534287,0.5513797,0.26984906,0.0,0.0,0.0,0.28324157,0.0,0.0,0.0,0.0,0.56114143,0.0,0.48268828,0.29651687,0.0,0.0,0.0,0.27355272,0.0,0.2585825,0.0,0.0,0.26604226,0.0,0.30712786,0.276226,0.0,0.0,0.0,0.3189517,0.31182414,0.6709572,0.46299574,0.9962288,0.27691272,0.0,0.0,0.0,0.0,0.0,0.28946492,0.603244,0.2948499,0.0,0.0,0.2869839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6835648,0.35241595,0.28587797,0.0,0.0,0.31314713,0.0,0.0,0.33005598,0.28755504,0.0,0.0,0.0,0.31154424,0.0,0.29105127,0.0,0.4012628,0.0,0.0,0.4626379,0.85729194,1.1014866,0.0,0.0,0.0,0.0,0.843973,0.28244063,0.3333232,0.0,0.27609053,0.0,0.0,0.0,0.0,0.40021548,0.0,0.30751076,0.36721036,0.3750244,0.0,0.0,0.7278052,0.30862084,0.0,0.5822317,0.25355503,0.6719024,0.0,0.0,0.33811986,0.41953072,0.0,0.0,0.45198062,0.0,0.2912906,0.0,0.0,0.0,0.26745775,0.0,0.5478898,0.0,0.45356098,0.0,0.5954623,0.88403547,0.0,1.2065681,0.0,0.0,0.0,0.0,0.27210462,0.0,0.0,0.0,0.0,0.27997023,0.0,0.0,0.0,0.0,0.0,0.0,0.27697194,0.0,0.0,0.0,0.0,0.68179595,0.0,0.49597868,0.2875608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0457017,0.0,0.0,0.0,0.0,0.0,0.27659896,0.0,0.0,17.730295,0.0,0.3305708,0.0,0.0,0.72538596,0.0,0.2820152,0.0,0.3231933,0.0,0.43236613,0.0,0.0,0.0,0.27587485,0.0,0.0,0.0,0.57766306,0.0,0.0,0.31550646,0.0,0.55146116,0.0,0.25340885,0.0,0.0,0.0,0.27117074,0.0,0.28186628,0.2803741,0.0,0.27297613,0.32293358,0.0,0.0,0.28965008,0.3389522,0.0,0.0,0.0
4,0.20459619,0.0,0.23301406,0.27814454,0.0,0.24848557,0.4320465,0.0,0.0,0.43094748,0.20015399,0.0,0.21945462,0.0,0.0,0.21583316,0.22890592,0.0,0.0,0.20663056,0.22500777,1.3683207,0.0,0.37626198,0.0,0.22485141,0.0,0.21929021,0.41730636,0.5035076,0.53964335,0.4330793,0.0,0.28485703,0.0,0.30446523,0.0,0.44090676,0.48698607,0.0,0.28274295,0.44110376,0.21587925,0.0,0.0,0.0,0.22659326,0.0,0.0,0.0,0.0,0.44891316,0.0,0.38615063,0.23721349,0.0,0.0,0.0,0.21884218,0.0,0.206866,0.0,0.0,0.2128338,0.0,0.2457023,0.22098081,0.0,0.0,0.0,0.25516135,0.24945931,0.53676575,0.37039658,0.79698306,0.22153017,0.0,0.0,0.0,0.0,0.0,0.23157194,0.4825952,0.23587993,0.0,0.0,0.22958712,0.0,0.0,0.0,0.0,0.0,0.20643799,0.0,0.0,0.0,0.5468518,0.28193277,0.22870238,0.0,0.0,0.2505177,0.0,0.0,0.2640448,0.23004404,0.0,0.0,0.26218387,0.5489472,0.2385017,0.23284101,0.0,0.32101023,0.0,0.0,0.37011033,0.6858336,0.8811892,0.0,0.0,0.0,0.0,0.6751784,0.2259525,0.26665857,0.0,0.22087243,0.0,0.0,0.0,0.24382481,0.7877328,0.0,0.2460086,0.5526398,0.30001953,0.0,0.23251465,0.58224416,0.24689667,0.0,0.46578535,0.20284402,0.9389802,0.0,0.0,0.2704959,0.73727274,0.0,0.0,0.36158448,0.0,0.2330325,0.25256187,0.0,0.0,0.2139662,0.0,0.43831187,0.0,0.3628488,0.0,0.47636986,0.70722836,0.0,0.9652545,0.0,0.0,0.0,0.0,0.2176837,0.0,0.0,0.0,0.0,0.22397618,0.0,0.20433834,0.20718662,0.0,0.25249362,0.0,0.44828337,0.0,0.0,0.25439784,0.3249674,0.54543674,0.0,0.39678293,0.23004863,0.0,0.0,0.0,0.30008465,0.0,0.0,0.0,0.8365614,0.0,0.2649234,0.20147285,0.0,0.0,0.22127917,0.0,0.0,15.923378,0.0,0.26445663,0.0,0.0,0.5803088,0.24324334,0.22561216,0.0,0.25855464,0.0,0.3458929,0.0,0.0,0.0,0.22069988,0.0,0.0,0.0,0.46213046,0.5139747,0.2806673,0.25240517,0.0,0.44116893,0.0,0.20272708,0.0,0.0,0.23845717,0.21693659,0.0,0.22549303,0.22429928,0.20112005,0.2183809,0.25834686,0.0,0.0,0.23172006,0.27116176,0.0,0.0,0.0
5,0.17049682,0.0,0.19417839,0.2317871,0.0,0.2070713,0.36003876,0.0,0.0,0.3591229,0.166795,0.0,0.18287885,0.0,0.0,0.17986096,0.19075494,0.0,0.0,0.17219214,0.18750648,1.1402673,0.0,0.31355163,0.0,0.18737619,0.0,0.18274184,0.3477553,0.41958967,0.44970277,0.36089942,0.23114151,0.23738086,0.0,0.44815132,0.0,0.3674223,0.6208181,0.0,0.23561913,0.36758646,0.17989938,0.0,0.0,0.0,0.18882771,0.0,0.0,0.0,0.0,0.37409428,0.0,0.3217922,0.19767791,0.0,0.0,0.0,0.18236847,0.0,0.17238833,0.0,0.0,0.35189855,0.0,0.20475191,0.18415068,0.18417202,0.25963935,0.0,0.21263446,0.20788276,0.44730482,0.30866382,0.66415256,0.39635134,0.0,0.0,0.19384946,0.0,0.0,0.19297661,0.40216267,0.1965666,0.0,0.0,0.19132261,0.0,0.0,0.0,0.0,0.0,0.17203166,0.0,0.0,0.19839548,0.45570984,0.23494397,0.19058532,0.0,0.0,0.20876475,0.0,0.0,0.22003733,0.19170336,0.0,0.0,0.21848656,0.45745602,0.1987514,0.19403417,0.0,0.26750854,0.0,0.0,0.30842528,0.57152796,0.7343244,0.0,0.0,0.0,0.0,0.56264865,0.36903596,0.22221547,0.0,0.18406035,0.0,0.0,0.0,0.20318735,0.656444,0.0,0.20500718,0.46053314,0.25001627,0.0,0.1937622,0.48520347,0.20574723,0.0,0.38815448,0.16903669,0.7824835,0.0,0.20089322,0.22541325,0.61439395,0.0,0.0,0.3013204,0.0,0.19419374,0.21046823,0.0,0.0,0.17830516,0.0,0.3652599,0.21535379,0.4907018,0.0,0.3969749,0.58935696,0.0,0.80437875,0.0,0.0,0.0,0.0,0.18140309,0.0,0.0,0.0,0.0,0.494462,0.0,0.17028195,0.17265552,0.2271202,0.21041135,0.0,0.3735695,0.0,0.0,0.21199821,0.27080616,0.45453063,0.0,0.33065245,0.1917072,0.0,0.0,0.0,0.25007054,0.0,0.0,0.0,0.9054136,0.0,0.22076951,0.16789405,0.0,0.0,0.1843993,0.0,0.0,16.12915,0.0,0.22038053,0.0,0.0,0.8752863,0.20270278,0.18801014,0.0,0.21546221,0.0,0.2882441,0.0,0.0,0.0,0.3859044,0.0,0.0,0.0,0.3851087,0.60407406,0.23388942,0.21033764,0.0,0.36764076,0.0,0.16893923,0.0,0.0,0.19871432,0.3616688,0.0,0.18791085,0.18691607,0.3709388,0.18198408,0.46182513,0.0,0.0,0.19310005,0.22596814,0.0,0.0,0.0
6,0.32873932,0.21607375,0.43865305,0.19867466,0.0,0.17748968,0.54987514,0.21915075,0.23369575,0.30781963,0.56242865,0.0,0.1567533,0.0,0.39642397,0.15416655,0.16350423,0.0,0.18285997,0.53316927,0.31611678,1.5004365,0.0,0.64669335,0.0,0.16060816,0.0,0.30632585,0.85808915,0.3596483,0.690217,0.30934235,0.1981213,0.2034693,0.0,0.5628713,0.36398536,0.63988316,0.53212976,0.32460508,0.64665127,0.7506488,0.15419947,0.16769746,0.0,0.0,0.16185233,0.17504883,0.0,0.18651606,0.0,0.32065225,0.0,0.27582186,0.16943821,0.0,0.0,0.0,0.4567898,0.3373601,0.14776143,0.0,0.0,0.30162734,0.0,0.17550163,0.15784344,0.15786172,0.4544603,0.0,0.44976473,0.43635437,0.95899105,0.26456898,1.1122363,0.33972973,0.0,0.0,0.16615668,0.2928117,0.0,0.63491076,0.34471086,0.16848566,0.0,0.0,0.37021166,0.0,0.34629777,0.17403476,0.24695878,0.17002115,0.1474557,0.0,0.16847761,0.17005326,0.39060846,0.20138054,0.16335884,0.0,0.15409102,0.47623706,0.0,0.0,0.18860342,0.3519612,0.0,0.0,0.1872742,0.39210516,0.17035834,0.43636084,0.19952822,0.56983054,0.27465305,0.18557206,0.46085143,0.79403657,0.82167256,0.0,0.0,0.0,0.0,0.6416931,0.31631655,0.19047041,0.0,0.15776601,0.0,0.0,0.0,0.17416058,0.5626663,0.0,0.38860083,0.3947427,0.21429966,0.0,0.16608189,0.71367496,0.17635477,0.0,0.33270383,0.34753516,0.67070013,0.0,0.1721942,0.19321135,0.52662337,0.0,0.0,0.49882922,0.0,0.40998554,0.32946676,0.0,0.2537755,0.152833,0.0,0.70408946,0.18458895,0.83127624,0.24999823,0.7566587,0.81530297,0.24635091,1.047016,0.19452038,0.15671508,0.34266403,0.15692213,0.15548836,0.0,0.0,0.0,0.0,0.58627117,0.36422825,0.14595595,0.14799045,0.19467446,0.18035258,0.0,0.5898162,0.14693381,0.0,0.18171275,0.23211958,0.7388776,0.20627801,0.2834164,0.44969636,0.18804203,0.14550151,0.0,0.5048889,0.15478209,0.0,0.0,1.0026467,0.0,0.18923101,0.35392413,0.0,0.2430294,0.15805654,0.0,0.0,20.875637,0.0,0.1888976,0.0,0.0,0.9619154,0.17374524,0.16115154,0.0,0.18468189,0.0,0.24706636,0.0,0.15676835,0.0,0.3307752,0.0,0.0,0.0,0.4969043,0.5177778,0.20047665,0.3860357,0.0,0.51153314,0.20842679,0.32537365,0.0,0.17373171,0.17032656,0.31000182,0.0,0.16106644,0.16021378,0.48300585,0.15598635,0.39585012,0.0,0.0,0.16551434,0.19368698,0.0,0.0,0.0
7,0.2876469,0.18906453,0.38382143,0.17384033,0.0,0.15530348,0.60629624,0.1917569,0.20448378,0.26934218,0.4921251,0.0,0.13715914,0.0,0.34687096,0.13489573,0.1430662,0.0,0.16000247,0.4665231,0.27660218,1.312882,0.0,0.5658567,0.0,0.14053214,0.0,0.2680351,0.750828,0.31469226,0.6039399,0.27067456,0.17335613,0.17803565,0.18593585,0.6272296,0.3184872,0.5598978,0.46561354,0.28402945,0.56581986,0.6568177,0.13492453,0.14673528,0.0,0.0,0.14162078,0.15316772,0.0,0.16320156,0.0,0.28057072,0.0,0.24134414,0.14825843,0.0,0.0,0.1957491,0.39969108,0.2951901,0.27267805,0.20224988,0.0,0.2639239,0.0,0.33964342,0.35198486,0.13812901,0.39765275,0.0,0.39354414,0.5538697,0.83911717,0.23149787,0.97320676,0.2972635,0.0,0.0,0.1453871,0.25621024,0.0,0.55554694,0.301622,0.14742495,0.0,0.0,0.3239352,0.0,0.30301055,0.28425556,0.21608894,0.1487685,0.2739975,0.0,0.2916415,0.1487966,0.3417824,0.17620797,0.14293899,0.0,0.13482964,0.41670743,0.0,0.0,0.16502799,0.30796605,0.0,0.0,0.16386493,0.34309202,0.14906356,0.38181573,0.17458719,0.49860173,0.24032143,0.33119574,0.403245,0.694782,0.7189635,0.0,0.0,0.0,0.0,0.5614815,0.43597847,0.1666616,0.0,0.13804527,0.0,0.0,0.0,0.15239051,0.492333,0.0,0.34002572,0.34539986,0.1875122,0.0,0.14532165,0.6244656,0.15431042,0.0,0.29111585,0.30409327,0.5868626,0.0,0.15066992,0.16905993,0.46079546,0.0,0.0,0.43647557,0.0,0.35873735,0.2882834,0.0,0.22205356,0.13372888,0.13537239,0.61607826,0.16151534,0.7273667,0.21874845,0.66207635,0.7133901,0.34233552,1.073456,0.17020534,0.1371257,0.29983103,0.13730687,0.13605231,0.13091041,0.0,0.0,0.0,0.8477995,0.31869972,0.12771146,0.12949164,0.17034015,0.15780851,0.0,0.5160892,0.31127602,0.0,0.15899865,0.20310463,0.77671933,0.30916375,0.24798934,0.39348432,0.16453677,0.30123812,0.0,0.4417778,0.13543433,0.0,0.0,1.0263448,0.0,0.16557713,0.30968362,0.0,0.21265073,0.13829948,0.0,0.0,20.396494,0.0,0.1652854,0.0,0.0,1.1452756,0.15202709,0.1410076,0.0,0.16159666,0.0,0.21618307,0.0,0.13717231,0.0,0.2894283,0.0,0.0,0.0,0.43479127,0.6140987,0.17541707,0.33778125,0.0,0.44759148,0.18237343,0.28470194,0.0,0.3198293,0.29466146,0.2712516,0.15927276,0.14093314,0.14018705,0.42263013,0.13648807,0.34636885,0.0,0.0,0.14482504,0.1694761,0.0,0.0,0.0
8,0.25568613,0.16805737,0.3411746,0.15452474,0.0,0.13804753,0.53893,0.17045058,0.18176335,0.35161352,0.43744454,0.0,0.12191924,0.0,0.30832973,0.11990731,0.12716995,0.0,0.14222442,0.41468722,0.24586861,1.1670061,0.0,0.50298375,0.0,0.124917455,0.0,0.23825343,0.6674027,0.27972645,0.53683543,0.2405996,0.15409434,0.15825391,0.16527632,0.5575374,0.28309974,0.49768692,0.4138787,0.37478125,0.50295097,0.5838379,0.11993292,0.13043135,0.0,0.0,0.12588514,0.1361491,0.0,0.14506805,0.0,0.24939619,0.0,0.21452813,0.13178527,0.0,0.0,0.1739992,0.35528097,0.2623912,0.24238048,0.17977768,0.0,0.23459904,0.0,0.30190527,0.31287542,0.122781344,0.3534691,0.0,0.349817,0.49232864,0.87666065,0.20577589,0.86507267,0.26423422,0.0,0.0,0.12923297,0.22774243,0.0,0.6429374,0.4157569,0.25975496,0.0,0.0,0.2879424,0.0,0.26934272,0.2526716,0.19207905,0.13223867,0.24355333,0.0,0.2592369,0.13226365,0.30380657,0.15662931,0.12705688,0.0,0.11984857,0.3704066,0.0,0.0,0.14669155,0.2737476,0.0,0.0,0.14565772,0.30497068,0.13250095,0.33939177,0.15518862,0.44320154,0.21361905,0.42409918,0.35844,0.617584,0.6390787,0.0,0.0,0.0,0.0,0.49909464,0.3875364,0.14814365,0.0,0.122706905,0.0,0.0,0.0,0.13545823,0.43762934,0.0,0.30224508,0.3070221,0.16667752,0.0,0.1291748,0.55508053,0.13716482,0.0,0.25876963,0.27030513,0.5216557,0.0,0.13392882,0.1502755,0.40959597,0.0,0.0,0.3879783,0.0,0.31887764,0.25625193,0.0,0.19738095,0.11887011,0.12033101,0.5476251,0.14356919,0.64654815,0.19444306,0.5885123,0.6341245,0.30429825,1.0792673,0.15129364,0.12188951,0.38007417,0.12205055,0.12093539,0.11636481,0.12146502,0.0,0.0,0.7535995,0.28328863,0.1135213,0.115103684,0.15141347,0.14027423,0.0,0.45874596,0.2766898,0.0,0.14133213,0.18053745,0.6904172,0.27481222,0.22043496,0.34976384,0.2679998,0.26776722,0.0,0.5182172,0.24092261,0.0,0.12611979,0.9123065,0.0,0.14717966,0.27527434,0.0,0.18902287,0.12293287,0.0,0.0,18.34943,0.0,0.14692035,0.0,0.0,1.0180228,0.13513519,0.12534009,0.0,0.14364147,0.0,0.19216272,0.0,0.12193094,0.0,0.2572696,0.0,0.0,0.0,0.38648114,0.54586554,0.15592629,0.30025,0.0,0.3978591,0.16210972,0.2530684,0.0,0.2842927,0.2619213,0.24111253,0.14157578,0.1252739,0.124610715,0.37567124,0.12132272,0.3078834,0.0,0.0,0.12873337,0.15064543,0.0,0.0,0.0
9,0.23011751,0.30824333,0.4384219,0.13907227,0.0,0.12424278,0.485037,0.15340552,0.16358702,0.31645218,0.5022338,0.0,0.10972731,0.0,0.27749676,0.10791658,0.11445296,0.0,0.12800197,0.37321848,0.22128174,1.0503056,0.0,0.45268536,0.0,0.11242571,0.0,0.2144281,0.72833544,0.2517538,0.59629536,0.21653965,0.1386849,0.14242852,0.14874868,0.50178367,0.25478977,0.44791824,0.37249082,0.3373031,0.59447086,0.52545416,0.10793962,0.117388226,0.0,0.0,0.21737942,0.12253418,0.0,0.13056125,0.1195151,0.22445658,0.0,0.19307531,0.118606746,0.0,0.0,0.15659928,0.31975287,0.23615208,0.21814243,0.16179991,0.0,0.21113913,0.0,0.27171475,0.2815879,0.11050321,0.3181222,0.0,0.3148353,0.44309577,0.9016573,0.29218146,0.7785654,0.35796133,0.0,0.0,0.27425045,0.20496818,0.11430993,0.68298095,0.3741812,0.36052185,0.0,0.0,0.3685669,0.0,0.24240844,0.22740445,0.2776027,0.1190148,0.21919799,0.10877391,0.2333132,0.24568713,0.2734259,0.14096639,0.11435119,0.15588969,0.10786371,0.33336595,0.0,0.0,0.1320224,0.24637285,0.0,0.0,0.13109194,0.2744736,0.11925085,0.4672738,0.13966975,0.39888138,0.19225714,0.38168925,0.322596,0.5558256,0.5751708,0.0,0.0,0.0,0.0,0.59320134,0.34878278,0.13332929,0.0,0.110436216,0.0,0.0,0.0,0.121912405,0.3938664,0.15110576,0.27202058,0.2763199,0.15000977,0.0,0.116257325,0.49957246,0.123448335,0.0,0.23289268,0.24327461,0.4694901,0.0,0.12053593,0.13524795,0.36863637,0.0,0.0,0.34918046,0.0,0.28698987,0.23062673,0.0,0.17764285,0.1069831,0.10829791,0.4928626,0.12921228,0.5818933,0.17499876,0.6404206,0.5707121,0.2738684,0.97134054,0.13616428,0.10970056,0.34206676,0.1098455,0.10884185,0.24696526,0.10931852,0.0,0.0,0.78051305,0.25495976,0.10216917,0.2499568,0.13627212,0.12624681,0.105126224,0.41287136,0.24902081,0.0,0.24795592,0.1624837,0.62137544,0.247331,0.19839147,0.31478745,0.24119982,0.36128396,0.13885431,0.46639547,0.21683034,0.14188966,0.11350781,0.9360725,0.0,0.1324617,0.2477469,0.0,0.17012058,0.11063959,0.0,0.0,16.742344,0.0,0.13222831,0.0,0.0,0.9162205,0.12162167,0.11280608,0.0,0.12927732,0.14047089,0.17294645,0.0,0.10973785,0.0,0.23154263,0.0,0.0,0.0,0.347833,0.49127898,0.14033365,0.270225,0.0,0.35807317,0.3255394,0.22776155,0.0,0.25586343,0.23572917,0.21700127,0.1274182,0.112746514,0.11214964,0.3381041,0.21695872,0.27709508,0.0,0.0,0.11586003,0.13558088,0.0,0.0,0.0
