time_step,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127,dim_128,dim_129,dim_130,dim_131,dim_132,dim_133,dim_134,dim_135,dim_136,dim_137,dim_138,dim_139,dim_140,dim_141,dim_142,dim_143,dim_144,dim_145,dim_146,dim_147,dim_148,dim_149,dim_150,dim_151,dim_152,dim_153,dim_154,dim_155,dim_156,dim_157,dim_158,dim_159,dim_160,dim_161,dim_162,dim_163,dim_164,dim_165,dim_166,dim_167,dim_168,dim_169,dim_170,dim_171,dim_172,dim_173,dim_174,dim_175,dim_176,dim_177,dim_178,dim_179,dim_180,dim_181,dim_182,dim_183,dim_184,dim_185,dim_186,dim_187,dim_188,dim_189,dim_190,dim_191,dim_192,dim_193,dim_194,dim_195,dim_196,dim_197,dim_198,dim_199,dim_200,dim_201,dim_202,dim_203,dim_204,dim_205,dim_206,dim_207,dim_208,dim_209,dim_210,dim_211,dim_212,dim_213,dim_214,dim_215,dim_216,dim_217,dim_218,dim_219,dim_220,dim_221,dim_222,dim_223,dim_224,dim_225,dim_226,dim_227,dim_228,dim_229,dim_230,dim_231,dim_232,dim_233,dim_234,dim_235,dim_236,dim_237,dim_238,dim_239,dim_240,dim_241,dim_242,dim_243,dim_244,dim_245,dim_246,dim_247,dim_248,dim_249,dim_250,dim_251
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.52623,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.66847,100.0,88.231804,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.545654,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.6567,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.52704,86.44115,100.0,89.987564,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.206,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.582085,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.311584,100.0,100.0,100.0,87.254776,100.0,100.0,89.7988,100.0,84.54073,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.94432,83.1676,100.0,73.94892,100.0,100.0,100.0,100.0,89.115814,100.0,100.0,100.0,100.0,88.80119,100.0,100.0,100.0,100.0,100.0,100.0,88.92112,100.0,100.0,100.0,100.0,88.00113,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.85355,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,81.13927,100.0,100.0,100.0,87.072266,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.379745,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,94.88509,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.763115,94.99615,100.0,94.51363,100.0,100.0,100.0,100.0,100.0,100.0,94.834236,94.3748,78.74797,100.0,90.59345,100.0,100.0,100.0,100.0,89.56734,92.612305,86.50892,89.17302,100.0,100.0,100.0,92.38837,100.0,88.97733,87.82535,100.0,92.93143,88.972404,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.528946,100.0,94.828354,100.0,100.0,94.67915,100.0,93.857445,100.0,100.0,100.0,100.0,100.0,93.76352,86.58086,100.0,85.57747,100.0,100.0,100.0,100.0,100.0,100.0,94.2107,100.0,94.103004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.140144,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.39888,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.74724,82.85416,77.97027,100.0,100.0,100.0,100.0,88.42884,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.849785,92.65579,92.49951,100.0,100.0,85.44389,100.0,100.0,88.35536,94.9289,86.56195,100.0,100.0,100.0,91.60938,100.0,100.0,90.96039,100.0,100.0,100.0,100.0,100.0,94.65085,100.0,89.042206,100.0,90.92878,100.0,88.09075,82.31929,100.0,75.86864,100.0,100.0,100.0,100.0,94.55791,100.0,100.0,100.0,100.0,94.4006,100.0,100.0,100.0,100.0,100.0,100.0,94.46056,100.0,100.0,100.0,100.0,86.36408,100.0,90.08043,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.35889,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,85.49228,100.0,94.359695,100.0,93.53613,100.0,91.35268,100.0,100.0,100.0,94.482506,100.0,100.0,100.0,100.0,100.0,100.0,93.68987,100.0,100.0,100.0,94.93182,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,96.590065,100.0,96.11643,95.36426,100.0,100.0,96.23577,100.0,100.0,92.81754,96.6641,100.0,96.34242,100.0,100.0,96.40278,96.1849,100.0,100.0,96.55616,96.24987,80.578125,100.0,93.728966,100.0,96.25248,100.0,96.34516,93.04489,91.60821,91.00594,92.78201,100.0,100.0,100.0,94.92558,100.0,92.65155,91.88357,100.0,95.28762,92.64827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.51811,100.0,93.564156,96.04644,100.0,100.0,100.0,96.35263,100.0,96.55223,100.0,100.0,96.45277,100.0,95.90496,96.316986,100.0,100.0,100.0,95.747314,95.84235,91.0539,93.82672,86.71695,96.30783,100.0,100.0,100.0,100.0,100.0,96.140465,91.95675,96.068665,100.0,100.0,96.173546,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.8858,95.30112,96.18829,100.0,100.0,95.82471,100.0,100.0,95.59925,96.16593,100.0,100.0,100.0,95.84608,100.0,96.119316,100.0,94.649826,100.0,100.0,93.8315,88.56944,85.313515,100.0,100.0,100.0,100.0,88.747025,96.23412,95.555695,100.0,96.318794,100.0,100.0,100.0,100.0,94.663795,100.0,95.89986,95.10386,94.99967,100.0,100.0,90.29593,95.885056,100.0,92.23691,96.61926,91.0413,100.0,100.0,95.49174,94.40626,100.0,100.0,93.973595,100.0,96.11613,100.0,100.0,100.0,96.4339,100.0,92.6948,100.0,93.95252,100.0,92.0605,88.21286,100.0,83.91243,100.0,100.0,100.0,100.0,96.37194,100.0,100.0,100.0,100.0,96.26707,100.0,100.0,100.0,100.0,100.0,100.0,96.30704,100.0,100.0,100.0,100.0,90.909386,100.0,93.38695,96.165855,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.57259,100.0,100.0,100.0,100.0,100.0,96.31201,100.0,100.0,0.0,100.0,95.59239,100.0,100.0,90.328186,100.0,96.2398,100.0,95.69076,100.0,94.235115,100.0,100.0,100.0,96.32167,100.0,100.0,100.0,92.29783,100.0,100.0,95.79324,100.0,92.64719,100.0,96.621216,100.0,100.0,100.0,96.38439,100.0,96.24178,96.26168,100.0,96.36032,95.69422,100.0,100.0,96.138,95.48064,100.0,100.0,100.0
3,97.44255,100.0,97.087326,96.52319,100.0,100.0,97.17683,100.0,100.0,94.61316,97.49808,100.0,97.25682,100.0,100.0,97.302086,97.13868,100.0,100.0,97.417114,97.1874,85.43359,100.0,95.29672,100.0,97.189354,100.0,97.25887,94.78367,93.706154,93.254456,94.58651,100.0,100.0,100.0,96.19418,100.0,94.48866,93.912674,100.0,96.46571,94.486206,97.301506,100.0,100.0,100.0,97.16759,100.0,100.0,100.0,100.0,94.38859,100.0,95.17312,97.03483,100.0,100.0,100.0,97.26447,100.0,97.41418,100.0,100.0,97.33958,100.0,96.92872,97.23774,100.0,100.0,100.0,96.810486,96.88176,93.29043,95.37004,90.03771,97.23087,100.0,100.0,100.0,100.0,100.0,97.105354,93.96756,97.0515,100.0,100.0,97.13016,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.16435,96.47584,97.14122,100.0,100.0,96.86853,100.0,100.0,96.69944,97.12445,100.0,100.0,100.0,96.88456,100.0,97.089485,100.0,95.98737,100.0,100.0,95.37362,91.42708,88.98514,100.0,100.0,100.0,100.0,91.56027,97.17559,96.66677,100.0,97.2391,100.0,100.0,100.0,100.0,95.99785,100.0,96.9249,96.327896,96.249756,100.0,100.0,92.72195,96.91379,100.0,94.17768,97.46445,93.280975,100.0,100.0,96.618805,95.804695,100.0,100.0,95.480194,100.0,97.0871,100.0,100.0,100.0,97.325424,100.0,94.5211,100.0,95.46439,100.0,94.04538,91.159645,100.0,87.93432,100.0,100.0,100.0,100.0,97.27895,100.0,100.0,100.0,100.0,97.200294,100.0,100.0,100.0,100.0,100.0,100.0,97.23028,100.0,100.0,100.0,100.0,93.18204,100.0,95.040215,97.12439,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.542984,100.0,100.0,100.0,100.0,100.0,97.23401,100.0,100.0,0.0,100.0,96.69429,100.0,100.0,92.74614,100.0,97.17985,100.0,96.76807,100.0,95.67634,100.0,100.0,100.0,97.24125,100.0,100.0,100.0,94.22337,100.0,100.0,96.84493,100.0,94.48539,100.0,97.46591,100.0,100.0,100.0,97.28829,100.0,97.181335,97.19626,100.0,97.27024,96.77066,100.0,100.0,97.1035,96.61048,100.0,100.0,100.0
4,97.95404,100.0,97.66986,97.21855,100.0,97.515144,95.679535,100.0,100.0,95.69052,97.99846,100.0,97.80545,100.0,100.0,97.84167,97.71094,100.0,100.0,97.93369,97.74992,86.316795,100.0,96.23738,100.0,97.75149,100.0,97.8071,95.826935,94.96492,94.60357,95.669205,100.0,97.15143,100.0,96.955345,100.0,95.590935,95.13014,100.0,97.17257,95.58896,97.84121,100.0,100.0,100.0,97.73407,100.0,100.0,100.0,100.0,95.51087,100.0,96.1385,97.62787,100.0,100.0,100.0,97.81158,100.0,97.93134,100.0,100.0,97.87166,100.0,97.54298,97.79019,100.0,100.0,100.0,97.44839,97.50541,94.63234,96.296036,92.03017,97.7847,100.0,100.0,100.0,100.0,100.0,97.68428,95.17405,97.6412,100.0,100.0,97.70413,100.0,100.0,100.0,100.0,100.0,97.93562,100.0,100.0,100.0,94.53148,97.18067,97.712975,100.0,100.0,97.49482,100.0,100.0,97.35955,97.69956,100.0,100.0,97.37816,94.51053,97.61498,97.67159,100.0,96.789894,100.0,100.0,96.2989,93.14166,91.18811,100.0,100.0,100.0,100.0,93.248215,97.74048,97.33341,100.0,97.791275,100.0,100.0,100.0,97.56175,92.12267,100.0,97.53992,94.4736,96.9998,100.0,97.67485,94.17756,97.53104,100.0,95.34215,97.97156,90.6102,100.0,100.0,97.295044,92.62727,100.0,100.0,96.384155,100.0,97.66968,97.47438,100.0,100.0,97.86034,100.0,95.61688,100.0,96.37151,100.0,95.2363,92.92772,100.0,90.34746,100.0,100.0,100.0,100.0,97.823166,100.0,100.0,100.0,100.0,97.76024,100.0,97.95662,97.92813,100.0,97.47507,100.0,95.517166,100.0,100.0,97.456024,96.75033,94.54563,100.0,96.03217,97.69952,100.0,100.0,100.0,96.99915,100.0,100.0,100.0,91.634384,100.0,97.35077,97.985275,100.0,100.0,97.78721,100.0,100.0,0.0,100.0,97.35543,100.0,100.0,94.196915,97.567566,97.74388,100.0,97.41445,100.0,96.54107,100.0,100.0,100.0,97.793,100.0,100.0,100.0,95.37869,94.86025,97.19333,97.47595,100.0,95.58831,100.0,97.97273,100.0,100.0,97.615425,97.830635,100.0,97.74507,97.757,97.9888,97.81619,97.416534,100.0,100.0,97.6828,97.28838,100.0,100.0,100.0
5,98.29503,100.0,98.05821,97.68213,100.0,97.92929,96.39961,100.0,100.0,96.40877,98.33205,100.0,98.17121,100.0,100.0,98.20139,98.09245,100.0,100.0,98.278076,98.12494,88.59733,100.0,96.86449,100.0,98.126236,100.0,98.172585,96.522446,95.8041,95.502975,96.39101,97.68858,97.62619,100.0,95.518486,100.0,96.325775,93.79182,100.0,97.64381,96.324135,98.201004,100.0,100.0,100.0,98.111725,100.0,100.0,100.0,100.0,96.259056,100.0,96.78208,98.023224,100.0,100.0,100.0,98.176315,100.0,98.276115,100.0,100.0,96.48102,100.0,97.952484,98.15849,98.15828,97.40361,100.0,97.87366,97.92117,95.526955,96.91336,93.358475,96.03648,100.0,100.0,98.06151,100.0,100.0,98.07024,95.97837,98.03433,100.0,100.0,98.08678,100.0,100.0,100.0,100.0,100.0,98.279686,100.0,100.0,98.016045,95.4429,97.65056,98.09415,100.0,100.0,97.91235,100.0,100.0,97.79963,98.08297,100.0,100.0,97.81513,95.42544,98.01249,98.05966,100.0,97.32491,100.0,100.0,96.91575,94.28472,92.65675,100.0,100.0,100.0,100.0,94.37351,96.30964,97.77785,100.0,98.15939,100.0,100.0,100.0,97.968124,93.43556,100.0,97.94993,95.39467,97.49984,100.0,98.06238,95.147964,97.94253,100.0,96.118454,98.30963,92.17516,100.0,97.991066,97.745865,93.856064,100.0,100.0,96.98679,100.0,98.05806,97.89532,100.0,100.0,98.21695,100.0,96.347404,97.846466,95.09298,100.0,96.03025,94.10643,100.0,91.956215,100.0,100.0,100.0,100.0,98.18597,100.0,100.0,100.0,100.0,95.05538,100.0,98.29718,98.273445,97.7288,97.89589,100.0,96.264305,100.0,100.0,97.88002,97.29194,95.4547,100.0,96.693474,98.08293,100.0,100.0,100.0,97.4993,100.0,100.0,100.0,90.94586,100.0,97.792305,98.32106,100.0,100.0,98.156006,100.0,100.0,0.0,100.0,97.796196,100.0,100.0,91.24714,97.97297,98.119896,100.0,97.845375,100.0,97.11756,100.0,100.0,100.0,96.14095,100.0,100.0,100.0,96.14891,93.95926,97.6611,97.89662,100.0,96.32359,100.0,98.31061,100.0,100.0,98.012856,96.38331,100.0,98.12089,98.13084,96.29061,98.18016,95.38175,100.0,100.0,98.069,97.74032,100.0,100.0,100.0
6,96.71261,97.839264,95.61347,98.01325,100.0,98.225105,94.50125,97.808495,97.66304,96.92181,94.37572,100.0,98.432465,100.0,96.03576,98.458336,98.36496,100.0,98.1714,94.668304,96.83883,84.995636,100.0,93.533066,100.0,98.39392,100.0,96.936745,91.419106,96.40352,93.09783,96.90658,98.01878,97.96531,100.0,94.371284,96.360146,93.601166,94.6787,96.75395,93.533485,92.493515,98.45801,98.32303,100.0,100.0,98.38148,98.24951,100.0,98.13484,100.0,96.79348,100.0,97.24178,98.30562,100.0,100.0,100.0,95.4321,96.626396,98.522385,100.0,100.0,96.98373,100.0,98.24498,98.42156,98.42138,95.4554,100.0,95.50235,95.63646,90.41009,97.35431,88.87764,96.6027,100.0,100.0,98.33843,97.071884,100.0,93.650894,96.552895,98.31514,100.0,100.0,96.29788,100.0,96.537025,98.25965,97.53041,98.29979,98.525444,100.0,98.31522,98.29947,96.09392,97.98619,98.36641,100.0,98.45909,95.23763,100.0,100.0,98.11397,96.480385,100.0,100.0,98.12726,96.07895,98.29642,95.63639,98.004715,94.3017,97.25347,98.14428,95.39149,92.05963,91.78327,100.0,100.0,100.0,100.0,93.58307,96.83684,98.0953,100.0,98.42234,100.0,100.0,100.0,98.25839,94.37334,100.0,96.11399,96.052574,97.857,100.0,98.33918,92.86325,98.23645,100.0,96.67296,96.52465,93.293,100.0,98.27806,98.06789,94.733765,100.0,100.0,95.01171,100.0,95.90015,96.70533,100.0,97.46224,98.47167,100.0,92.95911,98.15411,91.68724,97.500015,92.43341,91.84697,97.53649,89.52984,98.054794,98.432846,96.57336,98.43078,98.445114,100.0,100.0,100.0,100.0,94.13729,96.35772,98.54044,98.520096,98.05325,98.19647,100.0,94.10184,98.53066,100.0,98.18287,97.6788,92.61122,97.93722,97.16583,95.50304,98.11958,98.54498,100.0,94.95111,98.45218,100.0,100.0,89.97353,100.0,98.10769,96.46076,100.0,97.5697,98.41943,100.0,100.0,0.0,100.0,98.11102,100.0,100.0,90.380844,98.26255,98.38848,100.0,98.15318,100.0,97.529335,100.0,98.43232,100.0,96.692245,100.0,100.0,100.0,95.03096,94.82222,97.99523,96.13964,100.0,94.88467,97.91573,96.74626,100.0,98.26268,98.29674,96.89998,100.0,98.389336,98.397865,95.169945,98.44014,96.0415,100.0,100.0,98.34486,98.06313,100.0,100.0,100.0
7,97.12353,98.10935,96.16179,98.2616,100.0,98.44697,93.937035,98.08243,97.95516,97.30658,95.07875,100.0,98.62841,100.0,96.53129,98.65104,98.569336,100.0,98.39998,95.33477,97.23398,86.87118,100.0,94.34143,100.0,98.59468,100.0,97.31965,92.49172,96.85308,93.9606,97.29325,98.26644,98.21964,98.14064,93.72771,96.815125,94.401024,95.343864,97.159706,94.341805,93.43182,98.65076,98.532646,100.0,100.0,98.58379,98.46832,100.0,98.36798,100.0,97.19429,100.0,97.586555,98.51742,100.0,100.0,98.04251,96.00309,97.048096,97.27322,97.9775,100.0,97.36076,100.0,96.60357,96.48015,98.61871,96.023476,100.0,96.06456,94.4613,91.608826,97.68502,90.26793,97.02737,100.0,100.0,98.54613,97.4379,100.0,94.444534,96.98378,98.52575,100.0,100.0,96.76065,100.0,96.969894,97.15745,97.83911,98.512314,97.260025,100.0,97.08359,98.51203,96.58218,98.23792,98.57061,100.0,98.6517,95.832924,100.0,100.0,98.349724,96.92034,100.0,100.0,98.36135,96.56908,98.50936,96.18184,98.25413,95.013985,97.59679,96.68804,95.96755,93.05218,92.81036,100.0,100.0,100.0,100.0,94.385185,95.64021,98.33338,100.0,98.619545,100.0,100.0,100.0,98.4761,95.07667,100.0,96.59975,96.546005,98.12488,100.0,98.54678,93.75534,98.456894,100.0,97.088844,96.95907,94.13137,100.0,98.4933,98.3094,95.392044,100.0,100.0,95.63525,100.0,96.41263,97.117165,100.0,97.779465,98.66271,98.64628,93.83922,98.38485,92.72633,97.812515,93.379234,92.8661,96.576645,89.26544,98.29794,98.628746,97.001686,98.62693,98.63948,98.690895,100.0,100.0,100.0,91.522,96.813,98.722885,98.705086,98.2966,98.42191,100.0,94.83911,96.88724,100.0,98.41001,97.968956,92.2328,96.90836,97.5201,96.065155,98.35463,96.98762,100.0,95.58222,98.64566,100.0,100.0,89.73655,100.0,98.34423,96.90317,100.0,97.87349,98.617004,100.0,100.0,0.0,100.0,98.347145,100.0,100.0,88.54724,98.47973,98.58993,100.0,98.38403,100.0,97.83817,100.0,98.62828,100.0,97.10572,100.0,100.0,100.0,95.652084,93.85901,98.24583,96.622185,100.0,95.524086,98.17627,97.15298,100.0,96.801704,97.05338,97.28748,98.40727,98.59067,98.59813,95.7737,98.63512,96.53631,100.0,100.0,98.55175,98.30524,100.0,100.0,100.0
8,97.44314,98.31943,96.58826,98.45475,100.0,98.61952,94.6107,98.295494,98.182365,96.483864,95.62556,100.0,98.78081,100.0,96.9167,98.80093,98.7283,100.0,98.57776,95.85313,97.54131,88.32994,100.0,94.97016,100.0,98.750824,100.0,97.61746,93.32597,97.202736,94.631645,97.594,98.45905,98.41746,98.34724,94.42463,97.16901,95.02313,95.86121,96.25219,94.97049,94.16162,98.800674,98.69569,100.0,100.0,98.74115,98.63851,100.0,98.54932,100.0,97.506035,100.0,97.85472,98.682144,100.0,100.0,98.26001,96.44719,97.37609,97.576195,98.202225,100.0,97.65401,100.0,96.98095,96.87125,98.77219,96.46531,100.0,96.50183,95.07671,91.23339,97.94224,91.34927,97.35766,100.0,100.0,98.70767,97.72257,100.0,93.570625,95.84243,97.40245,100.0,100.0,97.120575,100.0,97.30657,97.47328,98.07921,98.67761,97.56447,100.0,97.40763,98.67736,96.96194,98.43371,98.72943,100.0,98.80151,96.29594,100.0,100.0,98.53308,97.26253,100.0,100.0,98.54343,96.950294,98.67499,96.60608,98.44811,95.567986,97.86381,95.75901,96.4156,93.82416,93.609215,100.0,100.0,100.0,100.0,95.009056,96.12463,98.51856,100.0,98.772934,100.0,100.0,100.0,98.64542,95.6237,100.0,96.97755,96.92978,98.33322,100.0,98.70825,94.449196,98.62835,100.0,97.4123,97.29695,94.78345,100.0,98.66071,98.497246,95.90404,100.0,100.0,96.12022,100.0,96.811226,97.43748,100.0,98.02619,98.8113,98.79669,94.52375,98.56431,93.534515,98.05557,94.114876,93.65875,96.957016,89.20733,98.48706,98.781105,96.19926,98.779495,98.79065,98.83635,98.78535,100.0,100.0,92.464005,97.167114,98.864784,98.84896,98.48586,98.59726,100.0,95.41254,97.2331,100.0,98.58668,98.194626,93.095825,97.25188,97.795654,96.502365,97.32,97.32233,100.0,94.817825,97.590775,100.0,98.7388,90.87694,100.0,98.528206,97.24725,100.0,98.10977,98.77067,100.0,100.0,0.0,100.0,98.5308,100.0,100.0,89.81977,98.64865,98.7466,100.0,98.56358,100.0,98.07837,100.0,98.78069,100.0,97.42731,100.0,100.0,100.0,96.135185,94.54134,98.440735,96.9975,100.0,96.02141,98.37891,97.469315,100.0,97.157074,97.38079,97.588875,98.58424,98.74726,98.75389,96.243286,98.78677,96.921165,100.0,100.0,98.71267,98.493546,100.0,100.0,100.0
9,97.69882,96.917564,95.61578,98.609276,100.0,98.75757,95.14963,98.46594,98.36413,96.83548,94.97766,100.0,98.902725,100.0,97.22503,98.92084,98.85547,100.0,98.71998,96.267815,97.787186,89.49695,100.0,95.473145,100.0,98.87574,100.0,97.85572,92.716644,97.48246,94.03705,97.8346,98.61315,98.575714,98.51251,94.98216,97.4521,95.52082,96.27509,96.62697,94.05529,94.74546,98.9206,98.82612,100.0,100.0,97.8262,98.77466,100.0,98.69439,98.80485,97.75543,100.0,98.069244,98.813934,100.0,100.0,98.434006,96.802475,97.63848,97.81857,98.382,100.0,97.88861,100.0,97.28285,97.18412,98.894966,96.81878,100.0,96.85165,95.569046,90.98343,97.078186,92.21435,96.42039,100.0,100.0,97.25749,97.95032,98.8569,93.17019,96.25819,96.39478,100.0,100.0,96.31433,100.0,97.57591,97.72595,97.223976,98.80985,97.80802,98.91226,97.66687,97.54313,97.26574,98.59034,98.85649,98.4411,98.921364,96.66634,100.0,100.0,98.67978,97.53627,100.0,100.0,98.68908,97.255264,98.807495,95.32726,98.6033,96.011185,98.07743,96.183105,96.77404,94.44174,94.24829,100.0,100.0,100.0,100.0,94.067986,96.51217,98.66671,100.0,98.89564,100.0,100.0,100.0,98.780876,96.06133,98.488945,97.27979,97.2368,98.4999,100.0,98.837425,95.00427,98.76552,100.0,97.671074,97.56725,95.3051,100.0,98.79464,98.64752,96.31364,100.0,100.0,96.508194,100.0,97.130104,97.69373,100.0,98.22357,98.93017,98.91702,95.07137,98.70788,94.18107,98.250015,93.595795,94.29288,97.261314,90.28659,98.63836,98.90299,96.57933,98.90154,98.91158,97.53035,98.906815,100.0,100.0,92.19487,97.4504,98.97831,97.500435,98.637276,98.73753,98.94874,95.871284,97.50979,100.0,97.52044,98.37516,93.78625,97.52669,98.01608,96.85213,97.588005,96.38716,98.61146,95.336044,97.831696,98.5811,98.86492,90.639275,100.0,98.675385,97.52253,100.0,98.2988,98.8936,100.0,100.0,0.0,100.0,98.67772,100.0,100.0,90.8378,98.78378,98.87194,100.0,98.70723,98.59529,98.27054,100.0,98.90262,100.0,97.68457,100.0,100.0,100.0,96.52167,95.08721,98.596664,97.29775,100.0,96.419266,96.744606,97.72238,100.0,97.44137,97.64271,97.82999,98.725815,98.872536,98.8785,96.61896,97.830414,97.22905,100.0,100.0,98.8414,98.64419,100.0,100.0,100.0
