time_step,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127,dim_128,dim_129,dim_130,dim_131,dim_132,dim_133,dim_134,dim_135,dim_136,dim_137,dim_138,dim_139,dim_140,dim_141,dim_142,dim_143,dim_144,dim_145,dim_146,dim_147,dim_148,dim_149,dim_150,dim_151,dim_152,dim_153,dim_154,dim_155,dim_156,dim_157,dim_158,dim_159,dim_160,dim_161,dim_162,dim_163,dim_164,dim_165,dim_166,dim_167,dim_168,dim_169,dim_170,dim_171,dim_172,dim_173,dim_174,dim_175,dim_176,dim_177,dim_178,dim_179,dim_180,dim_181,dim_182,dim_183,dim_184,dim_185,dim_186,dim_187,dim_188,dim_189,dim_190,dim_191,dim_192,dim_193,dim_194,dim_195,dim_196,dim_197,dim_198,dim_199,dim_200,dim_201,dim_202,dim_203,dim_204,dim_205,dim_206,dim_207,dim_208,dim_209,dim_210,dim_211,dim_212,dim_213,dim_214,dim_215,dim_216,dim_217,dim_218,dim_219,dim_220,dim_221,dim_222,dim_223,dim_224,dim_225,dim_226,dim_227,dim_228,dim_229,dim_230,dim_231,dim_232,dim_233,dim_234,dim_235,dim_236,dim_237,dim_238,dim_239,dim_240,dim_241,dim_242,dim_243,dim_244,dim_245,dim_246,dim_247,dim_248,dim_249,dim_250,dim_251
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.85873,100.0,100.0,100.0,100.0,88.93907,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.35191,100.0,100.0,89.67598,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.53936,93.35303,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.78833,92.33618,100.0,93.40375,94.60245,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.92937,100.0,100.0,100.0,100.0,94.469536,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.93518,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.17596,100.0,100.0,94.83799,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.64159,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.22234,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.78379,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.498825,94.766754,100.0,100.0,100.0,96.35094,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0346,96.09305,100.0,100.0,100.0,100.0,96.13984,100.0,100.0,100.0,100.0,94.800545,92.25292,100.0,100.0,94.48081,95.939445,95.96708,100.0,95.23749,100.0,95.59237,100.0,100.0,100.0,100.0,100.0,100.0,94.85693,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.32966,92.02298,96.47011,100.0,100.0,100.0,96.61006,95.43321,100.0,100.0,96.56455,100.0,100.0,94.52555,94.890785,94.43748,95.60249,96.401634,100.0,100.0,100.0,100.0,95.303505,100.0,100.0,100.0,100.0,100.0,96.033745,100.0,95.693634,94.64355,100.0,100.0,100.0,100.0,100.0,100.0,92.718834,96.46448,100.0,100.0,100.0,92.06277,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.95679,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.00882,100.0,92.9642,90.1173,100.0,90.26702,96.55866,100.0,100.0,100.0,100.0,100.0,100.0,95.6933,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.42773,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.609215,100.0,96.19708,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.495674,100.0,100.0,100.0,100.0,100.0,100.0,96.42831,100.0,96.63159,96.11079,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.04733,96.34053,100.0,100.0,100.0,95.48156,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.52253,95.609795,100.0,100.0,100.0,94.905975,100.0,100.0,100.0,100.0,100.0
3,100.0,100.0,100.0,100.0,100.0,100.0,97.155945,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.499825,97.37412,96.075066,100.0,100.0,100.0,91.4315,100.0,100.0,100.0,100.0,100.0,100.0,94.907364,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.27595,97.069786,96.355316,96.06209,100.0,97.18549,97.10488,100.0,100.0,100.0,100.0,96.10041,94.18969,100.0,97.14486,95.86061,96.95458,96.97531,100.0,96.428116,100.0,92.70179,100.0,100.0,100.0,100.0,100.0,100.0,96.1427,100.0,96.175606,100.0,96.76852,100.0,95.503624,96.105644,87.062904,94.017235,94.28068,100.0,100.0,100.0,97.45755,96.574905,100.0,100.0,94.507805,100.0,100.0,95.894165,96.16809,91.86708,92.77139,97.30122,100.0,100.0,100.0,100.0,96.47763,100.0,100.0,100.0,100.0,100.0,97.025314,100.0,96.770226,95.98266,96.56689,100.0,100.0,100.0,100.0,95.54025,94.53912,97.34836,100.0,100.0,100.0,94.04707,97.01443,100.0,96.45985,100.0,95.25968,95.36125,100.0,100.0,100.0,95.91687,100.0,96.05935,97.49976,96.96759,100.0,97.27833,100.0,96.65163,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.006615,100.0,94.72315,92.58798,100.0,92.700264,97.419,100.0,100.0,100.0,100.0,100.0,100.0,96.76997,97.291,100.0,100.0,100.0,97.23747,100.0,100.0,100.0,100.0,100.0,97.32079,96.43807,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.95691,100.0,97.14781,100.0,100.0,100.0,100.0,100.0,97.16849,97.47756,97.37176,100.0,97.34027,100.0,100.0,100.0,100.0,97.32123,100.0,94.89174,97.08309,100.0,100.0,100.0,95.67272,100.0,100.0,97.03282,95.31835,100.0,97.11075,100.0,100.0,100.0,97.097946,92.405655,97.255394,96.705025,100.0,95.22634,96.61117,97.07748,95.089096,96.70667,100.0,95.291534,100.0,95.74849,97.3919,96.70735,100.0,100.0,100.0,96.17948,100.0,96.33213,100.0,97.3788,95.373634
4,100.0,100.0,100.0,100.0,100.0,100.0,97.724754,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.99986,97.89929,96.86005,100.0,100.0,100.0,93.1452,100.0,100.0,100.0,100.0,100.0,100.0,95.92589,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.02076,97.65583,97.08425,96.84967,100.0,97.7484,97.68391,100.0,100.0,100.0,100.0,96.880325,95.35175,100.0,97.71588,96.688484,97.56367,97.580246,100.0,97.142494,100.0,94.16144,100.0,100.0,100.0,100.0,100.0,100.0,96.91416,100.0,96.94048,100.0,97.41481,100.0,96.4029,96.884514,89.65032,95.21378,95.424545,100.0,100.0,100.0,97.966034,97.259926,100.0,100.0,95.60624,100.0,100.0,96.71533,96.93447,93.49367,94.21711,97.84098,100.0,100.0,100.0,100.0,97.182106,100.0,100.0,100.0,100.0,100.0,97.62025,100.0,97.41618,96.786125,97.25351,100.0,100.0,100.0,100.0,96.432205,95.6313,97.878685,100.0,100.0,100.0,95.23766,97.61154,100.0,97.16788,100.0,96.20775,96.289,100.0,100.0,100.0,96.73349,100.0,96.84748,97.99981,97.57407,100.0,97.82266,100.0,97.321304,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.60529,100.0,95.77853,94.07038,100.0,94.16022,97.935196,100.0,100.0,100.0,100.0,100.0,100.0,97.41598,97.8328,100.0,100.0,100.0,97.78998,100.0,100.0,100.0,100.0,100.0,97.856636,97.15046,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.765526,100.0,97.718254,100.0,100.0,100.0,100.0,100.0,97.73479,97.98205,97.89741,100.0,97.872215,100.0,100.0,100.0,100.0,97.85699,100.0,95.91339,97.66647,100.0,100.0,100.0,96.53818,100.0,100.0,97.62626,96.254684,100.0,97.6886,100.0,100.0,100.0,97.67835,93.92452,97.80431,97.36402,100.0,96.181076,97.28893,97.66198,96.07127,97.36534,100.0,96.23322,100.0,96.59879,97.91352,97.365875,100.0,100.0,100.0,96.94359,100.0,97.065704,97.10498,97.903046,96.298904
5,100.0,100.0,100.0,100.0,100.0,100.0,98.103966,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.33321,98.24941,97.38338,100.0,100.0,100.0,92.54683,100.0,100.0,100.0,100.0,100.0,100.0,96.60491,100.0,100.0,100.0,100.0,98.21172,100.0,100.0,100.0,98.00286,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.517296,98.046524,97.57021,97.374725,100.0,98.123665,98.06992,98.266335,100.0,100.0,100.0,97.400276,96.126465,100.0,98.09657,97.2404,97.96973,97.98354,100.0,97.618744,100.0,95.13453,100.0,100.0,100.0,100.0,100.0,100.0,97.42847,100.0,97.4504,100.0,97.84567,100.0,97.00241,97.40376,91.37527,96.01149,96.18712,100.0,100.0,100.0,98.30503,97.716606,100.0,100.0,96.33853,100.0,100.0,97.26278,97.4454,94.57806,95.18092,98.20081,100.0,100.0,100.0,100.0,97.65176,100.0,100.0,100.0,100.0,100.0,98.01688,100.0,97.84682,97.32177,97.71126,100.0,100.0,100.0,100.0,97.02684,96.35942,98.23224,100.0,100.0,100.0,96.03139,98.00962,100.0,97.63989,100.0,96.83979,96.9075,100.0,100.0,100.0,97.27791,100.0,97.3729,98.333176,97.97839,100.0,98.185555,100.0,96.06302,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.00441,100.0,96.4821,95.058655,100.0,95.133514,98.27933,100.0,100.0,100.0,100.0,100.0,100.0,97.84665,98.194,100.0,100.0,100.0,98.15832,100.0,100.0,100.0,100.0,100.0,98.21386,97.62538,100.0,100.0,100.0,98.26182,100.0,100.0,100.0,97.3046,100.0,98.09854,100.0,100.0,100.0,100.0,97.88715,98.11233,98.318375,98.24784,100.0,98.226845,100.0,100.0,100.0,100.0,98.21416,100.0,96.59449,98.0554,100.0,100.0,100.0,97.11515,100.0,100.0,98.02188,96.8789,100.0,98.07383,100.0,100.0,100.0,98.0653,94.9371,98.170265,97.80335,100.0,96.81756,97.74078,98.05165,96.72607,97.80445,100.0,96.86102,100.0,97.165665,98.26126,97.8049,100.0,100.0,100.0,97.45299,100.0,97.55475,97.58749,98.25253,96.91576
6,98.03919,100.0,100.0,100.0,100.0,98.30882,96.76694,98.425545,100.0,100.0,97.40727,100.0,100.0,100.0,100.0,98.57133,98.4995,97.75718,98.562096,100.0,100.0,93.611565,100.0,100.0,100.0,98.52467,100.0,100.0,97.08992,100.0,100.0,100.0,100.0,98.46719,100.0,100.0,100.0,98.28817,100.0,100.0,100.0,100.0,100.0,100.0,97.53926,100.0,100.0,100.0,100.0,97.94533,100.0,100.0,100.0,100.0,97.87197,98.32559,97.91732,97.74976,97.54636,98.39171,98.34565,98.514,100.0,98.09893,100.0,97.77166,96.679825,98.20528,98.36849,95.61901,96.67677,98.27161,97.85253,97.95892,100.0,95.8296,100.0,100.0,96.92622,100.0,97.96388,100.0,97.79583,100.0,93.87494,96.59772,95.83282,98.38075,97.43064,97.77465,89.71146,96.581276,94.2991,100.0,98.27364,97.9635,96.89035,98.04281,100.0,98.06705,96.8616,100.0,100.0,97.65381,97.81034,95.352615,95.86937,98.45784,100.0,100.0,100.0,100.0,97.98722,98.41538,100.0,100.0,100.0,100.0,98.30018,100.0,98.15442,95.37775,98.03822,100.0,98.138756,100.0,98.31109,97.45158,96.8795,98.48478,100.0,100.0,98.40616,96.59833,98.29396,100.0,97.97705,100.0,97.291245,95.777214,100.0,98.56411,100.0,97.66678,100.0,97.7482,98.5713,98.2672,100.0,98.44476,100.0,96.62544,100.0,98.544556,100.0,100.0,100.0,100.0,100.0,100.0,98.28949,100.0,95.21136,95.76456,100.0,93.14741,98.52514,100.0,100.0,98.41344,100.0,98.4781,100.0,98.154274,98.452,100.0,100.0,100.0,98.42141,100.0,100.0,100.0,100.0,100.0,98.469025,97.964615,98.21669,100.0,100.0,98.510124,97.69223,100.0,100.0,97.68966,100.0,98.37018,100.0,100.0,100.0,100.0,98.18899,98.38199,98.55861,98.498146,100.0,98.480156,100.0,100.0,100.0,100.0,98.46928,100.0,97.08099,98.3332,100.0,100.0,100.0,97.52727,100.0,98.223434,94.78333,95.03408,100.0,98.349,100.0,100.0,97.71589,96.90004,95.66037,96.97184,98.11716,100.0,97.272194,98.06352,98.32999,97.19377,96.36413,98.37794,95.787384,97.83285,97.570564,98.50966,98.118484,98.16704,100.0,100.0,97.81685,100.0,97.904076,97.93213,98.502174,97.35636
7,98.284294,100.0,100.0,100.0,100.0,98.52022,97.17107,96.95998,100.0,100.0,97.73137,96.56177,98.224976,96.98305,100.0,98.74991,98.68706,98.03753,98.74184,100.0,100.0,94.41012,100.0,100.0,98.464165,98.70909,100.0,100.0,97.45368,100.0,100.0,100.0,100.0,98.6588,100.0,100.0,100.0,98.50215,100.0,100.0,100.0,100.0,100.0,100.0,97.846855,100.0,100.0,100.0,100.0,98.20216,100.0,100.0,100.0,100.0,98.13798,98.53489,98.17766,98.031044,97.853065,98.59275,98.552444,98.69975,100.0,98.33656,100.0,98.0502,97.09485,98.42961,98.572426,96.16663,97.09218,98.487656,98.120964,98.21406,100.0,96.3509,100.0,100.0,97.31045,100.0,98.21839,100.0,98.07135,100.0,94.64057,97.023,96.353714,98.58316,97.75181,98.052826,90.99752,97.00861,93.45426,100.0,98.48944,96.96374,95.82622,98.28745,100.0,98.30866,95.99051,100.0,100.0,97.94708,98.084045,95.93354,96.3857,97.293625,100.0,100.0,98.18334,100.0,98.238815,96.513435,100.0,100.0,100.0,100.0,98.51266,100.0,97.03247,95.95553,98.28345,100.0,98.371414,98.00318,96.01387,97.77013,97.26956,98.67418,98.648224,98.67039,98.605385,95.35878,98.50722,100.0,98.22992,98.213326,97.62984,96.30506,100.0,98.74359,100.0,97.958435,100.0,98.02968,98.749886,98.483795,100.0,98.63917,98.69621,97.047264,100.0,97.34318,98.45874,100.0,100.0,100.0,98.24283,100.0,95.98382,98.66704,94.40787,96.29399,100.0,92.42263,98.709496,100.0,100.0,98.611755,100.0,98.66834,100.0,98.38499,97.03582,97.52147,97.85906,100.0,98.61874,100.0,100.0,100.0,100.0,100.0,98.6604,96.73131,98.439606,98.04803,100.0,98.696365,97.9807,100.0,100.0,97.978455,100.0,98.573906,100.0,98.47513,100.0,100.0,97.030396,96.185104,98.73878,97.17287,100.0,98.670135,100.0,100.0,100.0,100.0,98.660614,100.0,97.44587,96.76546,98.65033,98.69015,98.00368,95.29783,100.0,98.4455,95.43542,95.65482,100.0,98.555374,100.0,98.6158,98.0014,97.28754,96.20283,97.35036,98.35251,100.0,97.613174,98.30559,98.538734,97.54455,96.81862,97.23813,96.31396,96.65997,97.874245,97.06717,96.61592,98.39616,97.4259,100.0,96.57853,100.0,96.75093,98.19061,98.6894,95.84937
8,98.47492,100.0,100.0,100.0,100.0,98.68464,97.4854,97.29776,100.0,100.0,97.98344,96.943794,98.422195,97.31827,100.0,98.88881,98.83294,98.255585,98.88163,100.0,100.0,95.03122,100.0,100.0,98.63481,98.85252,100.0,100.0,97.7366,100.0,100.0,100.0,100.0,98.807816,100.0,100.0,100.0,98.66858,100.0,100.0,100.0,100.0,100.0,100.0,98.08609,100.0,100.0,100.0,100.0,98.401924,100.0,100.0,100.0,100.0,98.344864,98.697685,98.38014,98.24982,98.09161,98.74911,98.71328,98.84422,100.0,98.52139,100.0,98.266846,97.41764,98.6041,98.73105,96.59256,97.41527,98.65569,98.32975,98.4125,100.0,96.756355,100.0,100.0,97.60929,100.0,98.41635,100.0,98.285645,100.0,95.23607,97.353775,96.75886,98.740585,98.00161,98.26917,91.997795,97.34099,94.181564,100.0,98.65728,97.3011,96.28997,98.47774,100.0,98.49659,96.43601,100.0,100.0,98.175186,98.29693,96.38537,96.787285,97.59433,100.0,100.0,98.38519,100.0,98.4345,96.90083,100.0,100.0,100.0,100.0,98.67792,100.0,97.3622,96.404915,98.474174,100.0,98.55237,98.22505,96.45677,98.01789,97.572945,98.821495,98.798416,98.81812,98.760345,94.68773,98.67308,100.0,98.4266,98.41184,97.89319,96.715614,100.0,98.883194,100.0,98.18527,100.0,98.2486,98.88879,98.65226,100.0,98.79037,98.84108,97.37534,100.0,97.63838,98.62999,100.0,100.0,100.0,98.43807,100.0,96.43006,98.81514,95.02921,96.705765,100.0,93.26456,98.85289,100.0,100.0,98.76601,100.0,97.54984,100.0,98.56443,97.36517,97.79686,96.49848,100.0,98.77221,100.0,100.0,100.0,100.0,100.0,98.80924,97.0945,98.61298,98.26491,100.0,98.84121,98.20507,100.0,100.0,98.20307,100.0,98.73236,100.0,98.644554,100.0,100.0,97.36035,96.60898,98.878914,96.266975,100.0,98.817894,100.0,100.0,100.0,100.0,98.80943,100.0,97.72966,95.22531,98.80029,98.835686,98.22549,95.8203,100.0,98.618225,95.94259,96.13762,100.0,98.71589,100.0,98.7696,98.22347,97.58892,96.62473,97.64476,98.53557,100.0,97.87837,98.49385,98.701096,97.817375,97.172104,97.545,96.72352,97.03108,98.11044,97.393036,96.99193,98.57436,97.711914,100.0,96.958694,100.0,97.11194,98.391655,98.83502,96.310555
9,98.62743,100.0,100.0,100.0,100.0,98.81618,97.736855,97.56798,100.0,100.0,98.18509,97.24942,98.57998,97.58644,100.0,98.99993,98.949646,98.43002,98.99347,100.0,100.0,95.52809,100.0,100.0,98.77133,98.96727,100.0,100.0,97.962944,100.0,100.0,100.0,100.0,98.92703,100.0,100.0,100.0,98.80172,100.0,100.0,100.0,100.0,98.972015,100.0,98.27748,100.0,98.615425,100.0,100.0,98.56173,100.0,100.0,100.0,100.0,98.510376,98.82791,98.54213,98.424835,98.28245,98.8742,98.84195,98.9598,100.0,98.66925,100.0,98.44016,97.67588,98.74369,97.64859,96.933304,97.673744,98.79012,98.49677,98.57124,100.0,97.08072,100.0,100.0,97.84836,100.0,98.574715,100.0,98.45708,100.0,95.71246,97.6184,97.08297,98.86652,96.27822,97.01524,92.79802,96.33682,93.5633,98.81195,97.34852,97.57099,96.66097,98.62997,100.0,98.646935,96.79241,100.0,100.0,98.357666,98.46724,96.74683,97.10856,97.8349,100.0,100.0,98.54668,100.0,98.59105,97.21075,100.0,98.96279,100.0,100.0,98.81013,100.0,97.62598,96.76443,98.626755,100.0,98.69713,98.40254,96.8111,98.2161,97.81565,98.93935,98.91858,98.93631,98.88431,95.218956,98.80577,98.6871,98.58394,98.57066,98.103874,97.04405,100.0,98.99487,100.0,98.366745,100.0,98.42374,98.99991,98.78703,100.0,97.77781,98.95697,97.63781,100.0,97.87454,98.76699,100.0,100.0,100.0,98.59427,100.0,96.787056,98.93363,95.52629,97.035194,100.0,93.9381,98.9676,100.0,98.9736,98.889404,100.0,97.79486,100.0,98.70799,97.628654,98.01717,95.82223,100.0,98.89499,100.0,100.0,100.0,100.0,100.0,97.85569,97.38505,98.751686,98.438416,100.0,98.95709,98.38456,100.0,100.0,98.38277,100.0,98.85912,100.0,98.7801,100.0,98.83363,97.62431,96.94808,98.99102,96.640274,100.0,98.936104,100.0,100.0,100.0,100.0,98.92849,100.0,97.956696,95.70278,98.920265,98.95212,98.40294,96.238266,100.0,98.7564,94.89219,96.52386,100.0,98.8443,100.0,98.89264,97.332405,97.83003,96.962265,97.88029,97.39868,100.0,98.09054,98.64447,98.830986,98.03564,95.13113,97.7905,97.05117,96.3276,98.2994,97.65373,97.29273,98.71693,97.94072,100.0,97.262825,100.0,97.40074,97.45497,98.95152,96.6795
