time_step,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127,dim_128,dim_129,dim_130,dim_131,dim_132,dim_133,dim_134,dim_135,dim_136,dim_137,dim_138,dim_139,dim_140,dim_141,dim_142,dim_143,dim_144,dim_145,dim_146,dim_147,dim_148,dim_149,dim_150,dim_151,dim_152,dim_153,dim_154,dim_155,dim_156,dim_157,dim_158,dim_159,dim_160,dim_161,dim_162,dim_163,dim_164,dim_165,dim_166,dim_167,dim_168,dim_169,dim_170,dim_171,dim_172,dim_173,dim_174,dim_175,dim_176,dim_177,dim_178,dim_179,dim_180,dim_181,dim_182,dim_183,dim_184,dim_185,dim_186,dim_187,dim_188,dim_189,dim_190,dim_191,dim_192,dim_193,dim_194,dim_195,dim_196,dim_197,dim_198,dim_199,dim_200,dim_201,dim_202,dim_203,dim_204,dim_205,dim_206,dim_207,dim_208,dim_209,dim_210,dim_211,dim_212,dim_213,dim_214,dim_215,dim_216,dim_217,dim_218,dim_219,dim_220,dim_221,dim_222,dim_223,dim_224,dim_225,dim_226,dim_227,dim_228,dim_229,dim_230,dim_231,dim_232,dim_233,dim_234,dim_235,dim_236,dim_237,dim_238,dim_239,dim_240,dim_241,dim_242,dim_243,dim_244,dim_245,dim_246,dim_247,dim_248,dim_249,dim_250,dim_251
0,85.34841,100.0,100.0,80.49064,100.0,89.73872,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.539536,100.0,100.0,100.0,100.0,80.96735,100.0,88.46143,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.24902,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.85764,100.0,100.0,100.0,100.0,85.15722,100.0,86.88413,89.883095,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.42187,100.0,100.0,89.74642,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.412125,100.0,88.6754,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.48858,85.47096,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.50729,100.0,83.62974,86.84948,89.622665,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.83581,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.336975,100.0,89.22007,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.58177,100.0,100.0,88.274284,87.42958,100.0,85.59035,100.0,100.0,100.0,100.0,100.0,100.0,87.22556,100.0,88.78728,100.0,100.0,100.0,100.0,100.0,100.0,89.305725,87.970245,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.45133,83.017784,88.81145,100.0,100.0,100.0,100.0,89.74753,100.0,100.0,100.0,100.0,88.71393,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,92.67421,100.0,75.015076,90.245316,100.0,94.86936,100.0,100.0,94.030014,100.0,100.0,100.0,100.0,100.0,100.0,86.76977,100.0,100.0,100.0,34.93081,90.48367,100.0,94.23072,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.12451,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.928825,100.0,100.0,100.0,100.0,92.57861,100.0,93.44206,94.94155,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.21094,100.0,100.0,94.873215,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.70606,100.0,94.3377,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.74429,92.73548,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.75365,100.0,91.81487,93.42474,94.81133,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.91791,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.16849,100.0,94.61003,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.790886,100.0,87.177765,94.137146,93.71479,100.0,92.79517,100.0,100.0,100.0,100.0,100.0,100.0,93.61278,100.0,94.39364,100.0,100.0,100.0,100.0,100.0,100.0,94.65286,93.98512,91.58624,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.22566,91.50889,94.40572,100.0,100.0,100.0,100.0,94.873764,100.0,100.0,100.0,100.0,94.356964,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,95.116135,100.0,58.241154,93.49688,100.0,96.579575,100.0,100.0,91.79795,96.29712,96.02793,100.0,100.0,100.0,100.0,91.17985,100.0,95.895935,95.89225,0.0,88.18366,100.0,96.15381,100.0,100.0,96.3701,94.49041,95.49159,100.0,96.44456,100.0,96.6045,100.0,96.08301,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.61922,100.0,100.0,100.0,100.0,90.73758,100.0,95.628044,96.6277,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.16898,100.0,100.0,96.58214,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.55574,100.0,100.0,100.0,96.47071,100.0,96.225136,100.0,100.0,100.0,100.0,100.0,96.2297,100.0,100.0,96.24121,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.49619,95.15699,96.34501,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.50243,100.0,94.54324,95.61649,96.540886,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.13288,100.0,96.084206,100.0,100.0,100.0,100.0,100.0,96.61194,100.0,100.0,100.0,95.54875,100.0,100.0,100.0,100.0,100.0,100.0,94.533485,95.445656,94.90464,96.40669,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.54589,100.0,100.0,95.602875,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.094894,100.0,100.0,96.52726,100.0,88.04524,96.09143,95.80986,100.0,95.196785,96.09653,100.0,100.0,100.0,100.0,100.0,95.74185,96.22436,96.26243,100.0,100.0,95.62075,100.0,96.296524,93.72296,90.924515,95.99008,94.39082,96.19489,100.0,100.0,100.0,100.0,100.0,100.0,96.02686,95.74544,100.0,100.0,100.0,95.81441,100.0,100.0,100.0,93.80866,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.150444,90.48627,96.270485,100.0,100.0,100.0,100.0,96.58251,100.0,93.925934,100.0,100.0,96.237976,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,96.337105,100.0,48.7439,95.12266,100.0,97.434685,100.0,100.0,90.75264,94.373535,97.02095,100.0,100.0,100.0,100.0,93.38489,100.0,96.92195,96.91919,0.0,91.13774,100.0,93.96886,100.0,100.0,97.27758,95.86781,96.6187,100.0,97.33342,100.0,97.45338,100.0,97.062256,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.46441,100.0,100.0,100.0,100.0,93.053185,100.0,96.72103,97.47077,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.12674,100.0,100.0,97.43661,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.4168,100.0,100.0,100.0,97.35303,100.0,97.16885,100.0,97.498474,100.0,100.0,100.0,97.17228,100.0,100.0,97.18091,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.37215,96.367744,97.25876,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.37682,100.0,95.90743,96.71237,97.40567,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.58747,100.0,97.063156,100.0,100.0,96.976364,100.0,100.0,97.458954,100.0,100.0,100.0,96.66156,100.0,100.0,97.306656,100.0,100.0,100.0,95.900116,96.58424,96.17848,97.305016,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.65942,100.0,100.0,96.702156,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.071175,100.0,100.0,97.39544,100.0,91.03393,97.06857,96.8574,100.0,93.77739,97.072395,100.0,100.0,100.0,97.20509,100.0,96.80639,97.16827,97.19682,100.0,96.90728,96.71556,100.0,97.22239,95.29222,90.599075,96.99256,95.79312,97.146164,100.0,100.0,100.0,100.0,100.0,100.0,93.72306,96.809074,100.0,100.0,100.0,93.489494,100.0,100.0,100.0,91.84787,100.0,100.0,96.84871,100.0,100.0,100.0,100.0,100.0,100.0,97.11283,92.8647,97.20286,100.0,100.0,100.0,100.0,97.43688,100.0,95.44445,100.0,100.0,97.17848,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.27298,100.0,100.0
4,97.06968,100.0,52.933846,96.09813,100.0,97.94775,100.0,97.44924,92.60211,95.49883,97.61676,97.72183,100.0,100.0,100.0,94.70791,100.0,97.53756,97.535355,0.0,90.87597,100.0,95.17508,100.0,100.0,97.82206,94.310646,97.29496,100.0,97.86674,100.0,97.9627,100.0,97.6498,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.97153,97.82046,100.0,100.0,100.0,94.44255,100.0,97.37682,97.976616,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.30139,100.0,100.0,97.94929,100.0,100.0,100.0,100.0,100.0,100.0,97.92304,97.93344,100.0,97.60561,100.0,97.88242,100.0,97.73508,100.0,97.99878,100.0,100.0,100.0,97.73782,100.0,100.0,97.74473,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.89771,97.09419,97.80701,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.90146,100.0,96.725945,97.369896,97.92453,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.51871,100.0,97.65052,100.0,100.0,97.58109,100.0,100.0,97.96716,100.0,100.0,100.0,97.329254,100.0,100.0,97.84533,100.0,100.0,100.0,96.72009,97.267395,96.94279,97.84402,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.32753,100.0,100.0,97.361725,100.0,100.0,100.0,100.0,100.0,100.0,97.93162,97.65694,100.0,100.0,97.91635,100.0,89.43977,97.654854,97.485916,100.0,95.02191,97.65792,100.0,100.0,100.0,97.76408,100.0,97.445114,97.73461,97.757454,97.90993,97.525826,97.37245,100.0,97.777916,96.23377,92.47926,97.59405,93.558304,97.716934,100.0,100.0,100.0,100.0,100.0,100.0,92.68976,97.447266,100.0,100.0,100.0,94.791595,100.0,100.0,100.0,93.478294,100.0,100.0,97.478966,100.0,100.0,100.0,100.0,100.0,100.0,97.69027,94.291756,97.76229,100.0,100.0,100.0,100.0,97.94951,100.0,94.12136,100.0,96.42647,97.74278,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.81838,100.0,100.0
5,97.55807,100.0,51.156906,96.74844,100.0,98.28979,100.0,97.87437,93.8351,96.24902,98.01397,98.101524,100.0,100.0,100.0,95.58992,100.0,97.94797,97.94613,0.0,92.396645,100.0,95.97923,98.07736,100.0,98.18505,95.25887,97.7458,100.0,98.22228,100.0,98.302246,100.0,96.04303,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.30961,98.183716,100.0,100.0,100.0,93.558395,100.0,97.81402,98.31385,96.50683,100.0,100.0,100.0,100.0,100.0,100.0,96.08449,100.0,100.0,98.29107,100.0,100.0,100.0,100.0,100.0,100.0,98.2692,98.27787,100.0,98.00468,100.0,98.23535,100.0,98.112564,100.0,98.33231,100.0,100.0,98.24845,98.11485,100.0,100.0,98.120605,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.2481,97.57849,98.17251,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.25121,100.0,97.27162,97.80825,98.27045,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.27615,100.0,98.0421,100.0,100.0,97.984245,100.0,100.0,98.30597,98.23095,100.0,100.0,95.98432,100.0,100.0,98.20444,100.0,100.0,100.0,97.26674,97.72283,97.452324,98.20335,100.0,98.209564,100.0,100.0,100.0,98.19291,100.0,97.77294,100.0,100.0,97.80144,100.0,100.0,100.0,100.0,100.0,100.0,98.276344,98.04745,100.0,100.0,98.263626,100.0,91.19981,98.045715,97.90493,100.0,95.85159,98.04826,100.0,100.0,100.0,98.136734,100.0,97.870926,98.112175,98.13121,98.25828,97.93819,97.81038,100.0,98.14826,96.86148,93.73272,97.99504,94.63192,98.09744,100.0,100.0,100.0,100.0,100.0,100.0,93.908134,97.87272,100.0,100.0,100.0,95.65966,100.0,97.77509,100.0,94.56525,100.0,100.0,97.89914,100.0,100.0,98.14578,100.0,100.0,100.0,98.07522,95.24313,98.13524,100.0,100.0,100.0,100.0,98.29125,100.0,95.101135,98.05616,95.28446,98.11899,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.181984,100.0,100.0
6,97.90691,97.323975,27.115738,93.93669,97.37104,98.5341,100.0,98.17803,94.7158,96.78488,98.29768,98.37274,100.0,100.0,100.0,96.21993,100.0,98.24111,98.23954,0.0,89.0424,97.62125,93.0133,96.61404,96.61554,98.44433,92.93243,93.977066,96.81969,95.81928,100.0,97.05326,100.0,94.35548,97.47622,98.18181,100.0,100.0,100.0,100.0,100.0,98.00479,100.0,100.0,98.07039,100.0,98.551094,98.443184,100.0,100.0,100.0,94.47863,100.0,98.126305,98.554726,97.00585,100.0,98.32138,100.0,97.99531,97.24425,100.0,96.64385,100.0,100.0,98.5352,100.0,98.52085,100.0,100.0,100.0,100.0,98.516464,98.52389,100.0,98.28972,100.0,98.48745,100.0,98.3822,100.0,98.57056,100.0,97.50777,98.49867,98.384155,100.0,98.15223,98.38909,98.46293,100.0,98.569176,98.345436,97.86928,100.0,98.20089,100.0,98.4914,98.49837,97.92442,98.43358,100.0,100.0,98.37059,100.0,100.0,100.0,100.0,98.00029,100.0,100.0,94.08576,98.21977,95.48041,98.12135,98.517525,97.678215,97.01236,97.79571,100.0,100.0,98.2116,100.0,84.304825,98.02804,96.20785,98.069916,100.0,98.27221,100.0,100.0,96.89341,98.48367,100.0,100.0,94.45188,100.0,100.0,98.460945,100.0,100.0,100.0,94.854744,98.04814,95.545654,98.46001,100.0,98.46534,100.0,100.0,98.18347,98.451065,97.51956,95.63297,100.0,100.0,98.11552,100.0,100.0,98.37266,97.32365,100.0,98.32472,98.52258,98.326385,100.0,100.0,96.85257,100.0,92.45698,98.3249,98.20422,97.45434,93.47192,95.17621,97.30452,98.053764,100.0,96.0786,100.0,98.17508,98.38187,98.398186,98.507095,98.232735,98.12318,100.0,95.882576,92.518845,90.84247,98.28146,95.39879,98.36924,100.0,98.4258,100.0,100.0,100.0,100.0,90.50593,95.61765,97.74011,100.0,97.932236,92.623955,100.0,98.09293,96.09572,91.350914,100.0,100.0,98.199265,100.0,100.0,95.643776,100.0,100.0,100.0,95.23767,95.92268,98.401634,100.0,100.0,100.0,100.0,98.53536,97.85424,95.80097,98.333855,95.95811,98.3877,100.0,100.0,100.0,100.0,100.0,98.36701,98.14012,100.0,97.65877,97.25504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.4417,100.0,100.0
7,98.16855,97.65848,31.694893,94.6946,97.69966,98.71734,100.0,98.40578,95.37632,97.18677,97.155426,98.57615,100.0,100.0,100.0,96.692444,100.0,98.460976,98.459595,0.0,90.4121,97.91859,93.886635,97.037285,97.0386,98.63879,93.81587,94.729935,97.21723,96.34187,100.0,97.42161,100.0,95.06104,97.791695,98.40908,100.0,100.0,100.0,100.0,100.0,98.254196,100.0,100.0,98.31159,100.0,98.73221,98.63779,100.0,100.0,100.0,95.1688,100.0,98.36052,98.73539,97.38012,100.0,98.531204,100.0,98.245895,97.588715,98.2989,97.06337,100.0,100.0,98.7183,97.82394,98.70575,100.0,100.0,98.73407,98.62979,98.701904,98.708405,100.0,98.50351,100.0,98.67651,100.0,98.58443,100.0,98.74924,100.0,97.81929,98.68634,98.586136,100.0,98.3832,98.590454,98.65506,100.0,98.748024,98.55226,98.13562,100.0,98.42578,100.0,98.67997,98.68607,98.18387,98.62938,100.0,100.0,98.574265,100.0,100.0,100.0,100.0,98.25025,100.0,100.0,94.82504,98.4423,96.04536,98.356186,98.702835,97.96844,97.38582,98.07124,98.51047,100.0,98.43515,100.0,86.26672,98.274536,96.68186,98.31117,100.0,98.48818,100.0,100.0,97.28173,98.67321,100.0,100.0,95.14539,100.0,100.0,98.65333,100.0,100.0,100.0,95.4979,98.29212,96.10245,98.65251,100.0,98.65717,100.0,100.0,98.41054,98.64468,97.82962,96.178856,100.0,100.0,98.351074,100.0,98.6457,98.57608,97.65819,100.0,96.89055,98.70726,98.53558,100.0,100.0,97.246,100.0,93.39986,98.53429,98.428696,97.772545,94.287926,95.77918,97.64146,98.29704,100.0,96.56877,98.426865,98.4032,98.58414,98.59841,98.6937,98.45364,98.35778,100.0,96.397255,93.45399,91.98716,98.49628,95.97394,98.57308,100.0,98.622574,100.0,100.0,100.0,100.0,91.69269,96.16545,98.0226,100.0,96.62633,91.9623,100.0,98.331314,96.583755,92.432045,100.0,100.0,98.424355,98.72163,100.0,96.1883,100.0,100.0,100.0,95.83296,96.43235,98.60143,100.0,100.0,100.0,100.0,98.718445,98.12246,96.32585,98.54212,96.46334,96.86029,100.0,100.0,100.0,100.0,100.0,98.57114,98.372604,98.51848,97.95142,97.59816,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.63649,100.0,100.0
8,98.37205,95.75802,32.87477,93.531845,95.349945,98.859856,98.08348,98.58291,95.89006,97.49935,96.05744,98.73435,100.0,100.0,98.76864,97.05995,100.0,98.63198,98.63075,0.0,89.82989,96.81682,92.99563,97.36647,93.84563,97.56286,92.06553,93.15568,97.52643,94.04909,100.0,95.29846,98.51022,93.95518,96.25782,98.58585,100.0,100.0,100.0,100.0,100.0,98.44817,100.0,100.0,98.49919,100.0,98.87307,98.78914,97.60638,98.38089,98.77889,93.54734,97.93272,98.54268,97.563995,97.67122,100.0,98.694405,100.0,98.440796,97.856636,98.48791,96.1737,98.45462,100.0,98.86071,98.06572,97.73507,100.0,98.645744,98.87473,98.782036,97.04824,98.85191,98.16196,98.669785,100.0,98.82357,100.0,98.741714,100.0,98.88821,98.75242,98.06159,98.8323,98.74323,100.0,98.56284,98.74707,98.8045,100.0,98.88713,98.71312,98.34277,100.0,98.60069,98.85318,98.826645,98.83206,98.385666,97.616104,100.0,98.70662,98.73268,100.0,100.0,100.0,100.0,98.44467,98.48846,98.80151,94.1864,98.61538,96.484764,98.53883,96.61297,98.19417,97.67628,98.285545,98.67597,100.0,98.609024,100.0,84.025826,97.14842,95.87049,98.498825,100.0,98.656166,100.0,100.0,96.29763,98.82063,100.0,100.0,94.46683,98.75553,100.0,98.802956,100.0,98.63762,98.307106,94.31506,98.48189,96.53551,98.80223,100.0,98.80637,100.0,100.0,98.58714,98.79527,98.07077,96.603424,100.0,98.60841,98.534294,100.0,97.13904,98.73429,96.76082,100.0,97.236046,98.8509,98.698296,100.0,100.0,97.552,98.51236,94.13321,98.69714,98.60329,96.17811,92.76201,94.16062,96.34419,96.5528,100.0,95.6558,98.601654,98.58062,98.741455,97.28836,98.83885,98.62546,98.54025,100.0,95.11464,91.418846,90.47927,98.66336,96.42128,98.73163,100.0,98.77562,100.0,100.0,98.812904,100.0,89.832146,93.75479,95.58895,100.0,97.00118,89.65914,98.73302,98.51672,94.658356,90.64594,100.0,100.0,98.59943,98.86367,100.0,93.723694,100.0,100.0,100.0,94.37235,96.82875,98.75683,100.0,97.907005,98.057274,100.0,96.32303,96.92697,96.73409,98.70411,96.85631,97.209145,98.51342,100.0,100.0,100.0,98.8772,97.344025,98.55343,98.68309,98.17905,97.865036,100.0,100.0,100.0,100.0,98.784485,98.30625,100.0,100.0,98.787994,100.0,100.0
9,98.53484,96.18221,36.515396,94.17866,94.56055,98.97387,98.27514,98.72462,96.301056,97.74941,96.4517,98.860916,100.0,100.0,98.89177,97.35395,100.0,98.76878,98.76768,0.0,89.2621,97.13514,92.51812,97.62982,92.94739,96.66307,91.05034,92.124466,97.77378,94.64418,100.0,95.768616,97.64955,92.758644,95.32866,97.43092,100.0,100.0,100.0,100.0,100.0,98.603355,100.0,100.0,98.64928,100.0,98.98576,98.910225,97.84574,98.5428,98.901,94.192604,98.13944,98.688416,97.807594,97.9041,100.0,98.82497,100.0,98.59672,98.07097,98.639114,96.55633,98.60916,100.0,98.97464,98.25915,96.866325,100.0,98.78117,98.98726,98.90383,96.15764,98.96672,98.345764,98.8028,100.0,98.941216,98.875404,98.86754,100.0,98.99939,98.877174,98.25543,98.94907,98.86891,100.0,98.70656,98.87236,98.92405,100.0,98.99842,98.841805,98.5085,100.0,98.74062,98.96786,98.94398,98.94886,98.5471,97.85449,100.0,98.83596,97.67504,100.0,100.0,100.0,100.0,98.600204,97.350494,98.921364,94.76776,98.75384,96.83629,98.68495,96.951675,98.37475,97.90865,98.45699,98.80837,100.0,98.74812,100.0,84.58504,97.43358,96.28344,98.64894,100.0,98.79055,100.0,100.0,96.66787,98.93857,100.0,100.0,95.02014,98.879974,100.0,98.92266,100.0,98.77386,98.476395,94.88355,98.6337,96.88196,98.922005,100.0,98.92574,100.0,100.0,98.72843,98.91574,98.263695,96.943085,100.0,98.747574,98.68086,100.0,97.42514,98.86086,97.08474,100.0,97.512436,98.965805,98.82847,100.0,100.0,97.7968,98.661125,94.71989,98.82743,98.74296,95.06708,93.48581,94.74456,95.451904,96.89752,100.0,96.09022,98.741486,98.72256,98.86731,97.559525,98.95496,98.76291,98.686226,100.0,94.52995,92.27696,90.17588,98.79703,96.77915,98.85847,100.0,98.898056,100.0,100.0,98.93162,100.0,89.70593,94.37931,94.437195,100.0,95.27799,89.501656,98.85972,98.665054,95.19252,91.581345,100.0,100.0,98.73948,98.9773,98.89398,94.351326,100.0,100.0,100.0,93.5822,97.14588,98.88114,100.0,98.1163,98.25155,100.0,96.69073,97.234276,95.585266,98.833694,97.17068,97.48823,98.66208,98.34182,100.0,100.0,98.98948,97.60962,98.69808,97.648735,98.36114,98.07853,100.0,100.0,100.0,100.0,98.90604,98.475624,100.0,100.0,97.61455,100.0,100.0
