dimension,tau
0,0.02563694342970848
1,0.03757452294230461
2,0.02856842018663883
3,0.02764194905757904
4,0.03587446808815002
5,0.020054806023836136
6,0.02765713669359684
7,0.03104901760816574
8,0.030029469728469847
9,0.037650767713785165
10,0.02701669782400131
11,0.02452622130513191
12,0.030553114414215085
13,0.03693131655454636
14,0.02828944511711597
15,0.02947552017867565
16,0.036199263855814935
17,0.034841255843639375
18,0.03333224356174468
19,0.028583034873008728
20,0.02557888627052307
21,0.027041964232921597
22,0.02973819375038147
23,0.02711821347475051
24,0.030811202526092527
25,0.031435345858335496
26,0.032473403960466385
27,0.026449987292289735
28,0.026123689115047453
29,0.032516440749168395
30,0.031338766217231744
31,0.024778331816196437
32,0.03798073828220367
33,0.02929780930280684
34,0.025716134905815122
35,0.02661658078432083
36,0.03170034922659397
37,0.03589729070663451
38,0.030885390378534786
39,0.02959657907485961
40,0.026320864446461197
41,0.04155881404876709
42,0.021142969280481323
43,0.020470707863569255
44,0.020648913830518718
45,0.02410602308809756
46,0.021089809387922286
47,0.02532026208937168
48,0.026146149635314937
49,0.029834064841270446
50,0.02811199054121971
51,0.03344982098788021
52,0.023549196124076834
53,0.028730580210685728
54,0.03426067158579826
55,0.03469639271497726
56,0.02611602377146482
57,0.022555489651858805
58,0.04094104319810867
59,0.03304539173841476
60,0.033233515545725824
61,0.028283251449465748
62,0.02635950557887554
63,0.03146310821175574
64,0.021265667118132114
65,0.029185740277171135
66,0.02571616135537624
67,0.039338086172938345
68,0.038386455178260795
69,0.03949255011975765
70,0.04911640584468842
71,0.028644094616174696
72,0.03494463190436363
73,0.03700816258788109
74,0.0444662719964981
75,0.03223394488450139
76,0.02938355356454849
77,0.030845372378826133
78,0.030437579378485676
79,0.031532449275255205
80,0.03479517623782157
81,0.056275707483291616
82,0.03666831078007817
83,0.03307274803519247
84,0.019314502365887158
85,0.02941545825451611
86,0.023436401039361947
87,0.020009771361947058
88,0.02094647940248251
89,0.022820080816745754
90,0.028418937698006623
91,0.026713584363460538
92,0.024945437535643575
93,0.020340753393247722
94,0.025971603021025653
95,0.02253907062113285
96,0.021250447630882262
97,0.0405500441789627
98,0.03627766333520412
99,0.043013693392276765
100,0.03624805808067321
101,0.025216002203524112
102,0.01955483332276344
103,0.017262708768248557
104,0.01650634333491325
105,0.030165499448776244
106,0.01885023396462202
107,0.026684099435806272
108,0.03554919511079787
109,0.022457333654165267
110,0.02098224908113479
111,0.03264241218566894
112,0.020708958758041258
113,0.02060452029109001
114,0.019898724928498264
115,0.016772570181638
116,0.04090277552604675
117,0.029872363805770873
118,0.031763023138046256
119,0.034959459304809565
120,0.029109044373035412
121,0.027878790721297255
122,0.05734658539295195
123,0.028967195749282835
124,0.03352287467569112
125,0.03624622812494635
126,0.027950200904160727
127,0.030607789941132064
128,0.022632357757538555
129,0.03555130530148744
130,0.027705040015280236
131,0.01636418499983847
132,0.04455565437674522
133,0.032177075371146203
134,0.03154366016387939
135,0.0608644962310791
136,0.045985138416290275
137,0.026707054860889905
138,0.034324908256530756
139,0.02950392514467239
140,0.0386392630636692
141,0.027512948866933583
142,0.05829639807343483
143,0.032543686032295224
144,0.05308609008789062
145,0.047819090262055386
146,0.027297267690300938
147,0.03937821276485919
148,0.03821665495634079
149,0.02608851604163646
150,0.03524496480822562
151,0.03283992893993853
152,0.023118082061409948
153,0.029493279010057435
154,0.031070577353239058
155,0.039964742958545685
156,0.024200787767767903
157,0.019349846243858337
158,0.033113852888345716
159,0.03955862075090408
160,0.025888597220182413
161,0.033355402946472164
162,0.027235837280750273
163,0.029966309666633606
164,0.02828400433063507
165,0.024406412243843073
166,0.02829427830874919
167,0.022460149228572847
168,0.0187076672911644
169,0.024323660135269157
170,0.026054361462593077
171,0.029988911747932435
172,0.03147856146097183
173,0.03306979537010193
174,0.03132514506578445
175,0.029519250988960265
176,0.03097011595964432
177,0.03839175496250391
178,0.03076192438602447
179,0.018096327409148214
180,0.032181938923895356
181,0.03128338679671287
182,0.027127295359969137
183,0.02432643175125122
184,0.02024721000343561
185,0.027392177237197755
186,0.01844125688076019
187,0.035040996968746185
188,0.02594729661941528
189,0.029246498644351953
190,0.023192130029201508
191,0.024875481426715848
192,0.03207822144031525
193,0.025871106982231135
194,0.02642904110252857
195,0.027143628150224686
196,0.028506609052419658
197,0.026439967751502983
198,0.03392980396747589
199,0.029333980381488798
200,0.02947629392147064
201,0.03197384178638458
202,0.03317038714885712
203,0.033315201103687284
204,0.027389172464609146
205,0.03719784915447235
206,0.02009465005248785
207,0.03233448453247547
208,0.030076988041400906
209,0.02734982222318649
210,0.035754751227796075
211,0.02306725848466158
212,0.028360453248023984
213,0.029115037620067587
214,0.02854765877127647
215,0.03485782667994499
216,0.026838999986648557
217,0.017202171310782433
218,0.03385861627757549
219,0.023169639706611633
220,0.024784763529896732
221,0.02544907350093126
222,0.02972520384937525
223,0.04857962243258953
224,0.04195252582430838
225,0.041741691529750824
226,0.04769522547721863
227,0.051580865681171394
228,0.037655044067651036
229,0.04326064139604568
230,0.0300981655716896
231,0.03719282150268555
232,0.03889077268540859
233,0.03376019373536109
234,0.027740125730633735
235,0.03188231401145458
236,0.021820145845413207
237,0.026873462088406082
238,0.02220732532441616
239,0.025161358714103695
240,0.03693978488445282
241,0.03873189557343722
242,0.04237761832773685
243,0.019837411679327486
244,0.0326014026068151
245,0.02985885366797447
246,0.027567341551184652
247,0.03396861106157303
248,0.12235239744186402
249,0.03465323373675346
250,0.08748874664306641
251,0.07221754789352416
